0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -226.88520947083117, time: 18.337
steps: 49975, episodes: 2000, mean episode reward: -255.5154865552246, time: 36.561
steps: 74975, episodes: 3000, mean episode reward: -195.1662566202065, time: 38.313
steps: 99975, episodes: 4000, mean episode reward: -184.02549292152833, time: 36.577
steps: 124975, episodes: 5000, mean episode reward: -178.60729750373798, time: 36.593
steps: 149975, episodes: 6000, mean episode reward: -176.9236069844694, time: 35.577
steps: 174975, episodes: 7000, mean episode reward: -173.50601706168678, time: 35.858
steps: 199975, episodes: 8000, mean episode reward: -170.4493463889499, time: 36.293
steps: 224975, episodes: 9000, mean episode reward: -167.98733285498295, time: 36.559
steps: 249975, episodes: 10000, mean episode reward: -167.2783445331637, time: 36.494
steps: 274975, episodes: 11000, mean episode reward: -166.54394549603782, time: 36.975
steps: 299975, episodes: 12000, mean episode reward: -162.98363534201937, time: 36.628
steps: 324975, episodes: 13000, mean episode reward: -162.19103424547262, time: 36.477
steps: 349975, episodes: 14000, mean episode reward: -159.35605246740752, time: 36.711
steps: 374975, episodes: 15000, mean episode reward: -158.73634432344338, time: 36.996
steps: 399975, episodes: 16000, mean episode reward: -158.9065115737475, time: 36.807
steps: 424975, episodes: 17000, mean episode reward: -156.87297093598576, time: 35.949
steps: 449975, episodes: 18000, mean episode reward: -156.55585127458855, time: 37.164
steps: 474975, episodes: 19000, mean episode reward: -156.66510658332805, time: 38.237
steps: 499975, episodes: 20000, mean episode reward: -154.91319337563303, time: 38.398
steps: 524975, episodes: 21000, mean episode reward: -155.5681632624654, time: 38.369
steps: 549975, episodes: 22000, mean episode reward: -154.97006136926944, time: 37.635
steps: 574975, episodes: 23000, mean episode reward: -155.3955246047132, time: 36.281
steps: 599975, episodes: 24000, mean episode reward: -154.52143668201506, time: 36.828
steps: 624975, episodes: 25000, mean episode reward: -154.39429584728316, time: 36.796
steps: 649975, episodes: 26000, mean episode reward: -153.4827522610212, time: 36.671
steps: 674975, episodes: 27000, mean episode reward: -153.0288933808445, time: 37.292
steps: 699975, episodes: 28000, mean episode reward: -151.6208092103459, time: 36.711
steps: 724975, episodes: 29000, mean episode reward: -149.9669528935044, time: 36.837
steps: 749975, episodes: 30000, mean episode reward: -149.96749572997493, time: 37.272
steps: 774975, episodes: 31000, mean episode reward: -148.55903497807378, time: 38.6
steps: 799975, episodes: 32000, mean episode reward: -149.59239334654018, time: 38.308
steps: 824975, episodes: 33000, mean episode reward: -150.23434770984707, time: 37.084
steps: 849975, episodes: 34000, mean episode reward: -149.06204446827726, time: 35.806
steps: 874975, episodes: 35000, mean episode reward: -149.983678953827, time: 36.484
steps: 899975, episodes: 36000, mean episode reward: -148.18449705663713, time: 42.231
steps: 924975, episodes: 37000, mean episode reward: -149.10076773646247, time: 47.939
steps: 949975, episodes: 38000, mean episode reward: -148.49562819559011, time: 44.414
steps: 974975, episodes: 39000, mean episode reward: -148.4491430301915, time: 42.5
steps: 999975, episodes: 40000, mean episode reward: -147.93605957900664, time: 44.432
steps: 1024975, episodes: 41000, mean episode reward: -145.70145314250271, time: 44.074
steps: 1049975, episodes: 42000, mean episode reward: -146.62539751608625, time: 44.992
steps: 1074975, episodes: 43000, mean episode reward: -146.34269755968148, time: 44.023
steps: 1099975, episodes: 44000, mean episode reward: -145.53111030554524, time: 43.263
steps: 1124975, episodes: 45000, mean episode reward: -145.45750940472, time: 43.393
steps: 1149975, episodes: 46000, mean episode reward: -147.81522285220376, time: 43.396
steps: 1174975, episodes: 47000, mean episode reward: -144.35897061694433, time: 43.651
steps: 1199975, episodes: 48000, mean episode reward: -145.24481763860572, time: 44.375
steps: 1224975, episodes: 49000, mean episode reward: -144.45827325016356, time: 44.038
steps: 1249975, episodes: 50000, mean episode reward: -142.96081136797727, time: 38.907
steps: 1274975, episodes: 51000, mean episode reward: -143.04143231972807, time: 37.202
steps: 1299975, episodes: 52000, mean episode reward: -142.21446528862245, time: 36.612
steps: 1324975, episodes: 53000, mean episode reward: -142.67238786388748, time: 36.998
steps: 1349975, episodes: 54000, mean episode reward: -141.4361374200368, time: 37.045
steps: 1374975, episodes: 55000, mean episode reward: -140.94264927825677, time: 39.756
steps: 1399975, episodes: 56000, mean episode reward: -141.63104763381708, time: 45.716
steps: 1424975, episodes: 57000, mean episode reward: -138.97473076513904, time: 45.962
steps: 1449975, episodes: 58000, mean episode reward: -139.85040457930893, time: 44.798
steps: 1474975, episodes: 59000, mean episode reward: -139.6804038006793, time: 44.266
steps: 1499975, episodes: 60000, mean episode reward: -139.90752339757665, time: 44.331
steps: 1524975, episodes: 61000, mean episode reward: -138.85288555925212, time: 44.284
steps: 1549975, episodes: 62000, mean episode reward: -138.02235723408458, time: 41.61
steps: 1574975, episodes: 63000, mean episode reward: -137.20972057759366, time: 44.916
steps: 1599975, episodes: 64000, mean episode reward: -137.28427547879178, time: 45.706
