0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -225.9394455524773, time: 9.825
steps: 49975, episodes: 2000, mean episode reward: -180.61085310996097, time: 21.47
steps: 74975, episodes: 3000, mean episode reward: -107.15570854066284, time: 20.632
steps: 99975, episodes: 4000, mean episode reward: -99.27295089817595, time: 21.247
steps: 124975, episodes: 5000, mean episode reward: -93.28869893471617, time: 20.47
steps: 149975, episodes: 6000, mean episode reward: -91.26561298946, time: 21.534
steps: 174975, episodes: 7000, mean episode reward: -83.39266912032299, time: 21.466
steps: 199975, episodes: 8000, mean episode reward: -76.76033743999466, time: 21.533
steps: 224975, episodes: 9000, mean episode reward: -72.40969408555762, time: 21.421
steps: 249975, episodes: 10000, mean episode reward: -69.0755209847578, time: 21.353
steps: 274975, episodes: 11000, mean episode reward: -66.16341389976016, time: 21.513
steps: 299975, episodes: 12000, mean episode reward: -66.88940882595826, time: 21.407
steps: 324975, episodes: 13000, mean episode reward: -67.63327241444114, time: 21.596
steps: 349975, episodes: 14000, mean episode reward: -63.56280702944775, time: 21.717
steps: 374975, episodes: 15000, mean episode reward: -63.32520133370519, time: 21.486
steps: 399975, episodes: 16000, mean episode reward: -60.34711183469982, time: 21.583
steps: 424975, episodes: 17000, mean episode reward: -62.4316122493491, time: 21.584
steps: 449975, episodes: 18000, mean episode reward: -60.269487560652195, time: 21.495
steps: 474975, episodes: 19000, mean episode reward: -62.629922193594645, time: 21.692
steps: 499975, episodes: 20000, mean episode reward: -60.019507457399015, time: 21.68
steps: 524975, episodes: 21000, mean episode reward: -62.14988913400189, time: 21.695
steps: 549975, episodes: 22000, mean episode reward: -63.09685040787449, time: 21.701
steps: 574975, episodes: 23000, mean episode reward: -62.34682449928225, time: 21.525
steps: 599975, episodes: 24000, mean episode reward: -64.9320351099237, time: 21.083
steps: 624975, episodes: 25000, mean episode reward: -64.11153156391019, time: 21.723
steps: 649975, episodes: 26000, mean episode reward: -64.46718413359133, time: 21.509
steps: 674975, episodes: 27000, mean episode reward: -66.0248954716571, time: 22.677
steps: 699975, episodes: 28000, mean episode reward: -67.48620428224702, time: 22.906
steps: 724975, episodes: 29000, mean episode reward: -69.01194401552193, time: 22.946
steps: 749975, episodes: 30000, mean episode reward: -67.76613500313339, time: 23.007
steps: 774975, episodes: 31000, mean episode reward: -70.52213073365684, time: 23.152
steps: 799975, episodes: 32000, mean episode reward: -70.59513887645859, time: 22.037
steps: 824975, episodes: 33000, mean episode reward: -75.98672552950713, time: 21.815
steps: 849975, episodes: 34000, mean episode reward: -70.6190442837443, time: 22.97
steps: 874975, episodes: 35000, mean episode reward: -73.1827988562426, time: 22.856
steps: 899975, episodes: 36000, mean episode reward: -73.57042810920362, time: 22.541
steps: 924975, episodes: 37000, mean episode reward: -71.8066150053243, time: 23.052
steps: 949975, episodes: 38000, mean episode reward: -73.22327570287595, time: 22.255
steps: 974975, episodes: 39000, mean episode reward: -77.42230806794561, time: 21.621
steps: 999975, episodes: 40000, mean episode reward: -78.84757051802734, time: 21.56
steps: 1024975, episodes: 41000, mean episode reward: -77.88241560867665, time: 21.672
steps: 1049975, episodes: 42000, mean episode reward: -78.4842786949812, time: 21.568
steps: 1074975, episodes: 43000, mean episode reward: -78.89095719947831, time: 21.487
steps: 1099975, episodes: 44000, mean episode reward: -73.39376595939073, time: 21.585
steps: 1124975, episodes: 45000, mean episode reward: -76.45543602695949, time: 21.535
steps: 1149975, episodes: 46000, mean episode reward: -75.21955036253482, time: 21.545
steps: 1174975, episodes: 47000, mean episode reward: -74.71482922252105, time: 21.258
steps: 1199975, episodes: 48000, mean episode reward: -80.95198707533005, time: 20.896
steps: 1224975, episodes: 49000, mean episode reward: -76.89939035574538, time: 21.658
steps: 1249975, episodes: 50000, mean episode reward: -77.92305214226829, time: 21.596
steps: 1274975, episodes: 51000, mean episode reward: -75.33361138889086, time: 21.575
steps: 1299975, episodes: 52000, mean episode reward: -76.05129062449292, time: 21.77
steps: 1324975, episodes: 53000, mean episode reward: -72.65411136747001, time: 21.57
steps: 1349975, episodes: 54000, mean episode reward: -74.72290585216274, time: 21.803
steps: 1374975, episodes: 55000, mean episode reward: -74.55047065673159, time: 21.887
steps: 1399975, episodes: 56000, mean episode reward: -70.65627667582896, time: 21.88
steps: 1424975, episodes: 57000, mean episode reward: -70.28957791095327, time: 21.503
steps: 1449975, episodes: 58000, mean episode reward: -70.62930797165959, time: 21.942
steps: 1474975, episodes: 59000, mean episode reward: -68.92591177266597, time: 22.37
steps: 1499975, episodes: 60000, mean episode reward: -67.73930648055554, time: 22.967
steps: 1524975, episodes: 61000, mean episode reward: -70.06556157383227, time: 22.49
steps: 1549975, episodes: 62000, mean episode reward: -67.64999406151404, time: 21.479
steps: 1574975, episodes: 63000, mean episode reward: -71.24099063225101, time: 20.631
steps: 1599975, episodes: 64000, mean episode reward: -70.20442083143776, time: 21.205
steps: 1624975, episodes: 65000, mean episode reward: -69.68754043858353, time: 20.988
steps: 1649975, episodes: 66000, mean episode reward: -72.87088948645072, time: 21.682
steps: 1674975, episodes: 67000, mean episode reward: -69.09768028311025, time: 21.43
steps: 1699975, episodes: 68000, mean episode reward: -71.89224320410108, time: 21.65
steps: 1724975, episodes: 69000, mean episode reward: -75.13981369793063, time: 21.646
steps: 1749975, episodes: 70000, mean episode reward: -74.99227481585203, time: 21.615
steps: 1774975, episodes: 71000, mean episode reward: -76.61152052327905, time: 21.641
steps: 1799975, episodes: 72000, mean episode reward: -73.77800172315271, time: 21.655
steps: 1824975, episodes: 73000, mean episode reward: -76.29529892682598, time: 21.636
steps: 1849975, episodes: 74000, mean episode reward: -73.85760593864264, time: 21.287
steps: 1874975, episodes: 75000, mean episode reward: -72.20008116000676, time: 21.592
steps: 1899975, episodes: 76000, mean episode reward: -73.96362498505263, time: 21.638
steps: 1924975, episodes: 77000, mean episode reward: -73.32117927630418, time: 21.595
steps: 1949975, episodes: 78000, mean episode reward: -74.04809097311028, time: 21.781
steps: 1974975, episodes: 79000, mean episode reward: -74.95652039950829, time: 21.571
steps: 1999975, episodes: 80000, mean episode reward: -75.89251806704256, time: 21.656
steps: 2024975, episodes: 81000, mean episode reward: -72.39282503271781, time: 21.726
steps: 2049975, episodes: 82000, mean episode reward: -73.80911571282364, time: 21.654
steps: 2074975, episodes: 83000, mean episode reward: -70.70730283862758, time: 21.7
steps: 2099975, episodes: 84000, mean episode reward: -70.29840689057356, time: 21.668
steps: 2124975, episodes: 85000, mean episode reward: -69.79103320644555, time: 20.631
steps: 2149975, episodes: 86000, mean episode reward: -68.43027624125823, time: 19.823
steps: 2174975, episodes: 87000, mean episode reward: -68.60256938861974, time: 21.633
steps: 2199975, episodes: 88000, mean episode reward: -69.04030203752933, time: 21.394
steps: 2224975, episodes: 89000, mean episode reward: -68.15749758884914, time: 21.656
steps: 2249975, episodes: 90000, mean episode reward: -69.16528277995948, time: 21.645
steps: 2274975, episodes: 91000, mean episode reward: -72.13484767698405, time: 21.639
steps: 2299975, episodes: 92000, mean episode reward: -69.55202804441045, time: 21.041
steps: 2324975, episodes: 93000, mean episode reward: -68.29477659507486, time: 21.312
steps: 2349975, episodes: 94000, mean episode reward: -66.5176800419409, time: 21.709
steps: 2374975, episodes: 95000, mean episode reward: -69.94845184537225, time: 21.69
steps: 2399975, episodes: 96000, mean episode reward: -66.12978802142375, time: 21.737
steps: 2424975, episodes: 97000, mean episode reward: -65.02813867336027, time: 21.516
steps: 2449975, episodes: 98000, mean episode reward: -67.68875454616645, time: 22.177
steps: 2474975, episodes: 99000, mean episode reward: -68.65969696367242, time: 22.223
steps: 2499975, episodes: 100000, mean episode reward: -65.36771946749685, time: 22.14
...Finished total of 100001 episodes.
