0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -144.70466373603162, time: 43.358
steps: 49975, episodes: 2000, mean episode reward: -241.5297448832388, time: 51.057
steps: 74975, episodes: 3000, mean episode reward: -75.14258488248102, time: 52.228
steps: 99975, episodes: 4000, mean episode reward: -69.13028083263441, time: 53.4
steps: 124975, episodes: 5000, mean episode reward: -63.6247689095627, time: 50.966
steps: 149975, episodes: 6000, mean episode reward: -61.18370245529868, time: 50.826
steps: 174975, episodes: 7000, mean episode reward: -62.54010229807586, time: 50.92
steps: 199975, episodes: 8000, mean episode reward: -59.18340185379106, time: 51.065
steps: 224975, episodes: 9000, mean episode reward: -57.882273322490974, time: 51.785
steps: 249975, episodes: 10000, mean episode reward: -57.277835324011, time: 51.848
steps: 274975, episodes: 11000, mean episode reward: -54.68515409228395, time: 52.092
steps: 299975, episodes: 12000, mean episode reward: -54.130399190537865, time: 52.416
steps: 324975, episodes: 13000, mean episode reward: -53.030359358548665, time: 52.143
steps: 349975, episodes: 14000, mean episode reward: -50.0398086853101, time: 52.207
steps: 374975, episodes: 15000, mean episode reward: -50.136859243160984, time: 54.051
steps: 399975, episodes: 16000, mean episode reward: -47.97812407454914, time: 52.509
steps: 424975, episodes: 17000, mean episode reward: -47.81939900688215, time: 54.04
steps: 449975, episodes: 18000, mean episode reward: -47.70165439436968, time: 53.859
steps: 474975, episodes: 19000, mean episode reward: -44.80570362798165, time: 54.214
steps: 499975, episodes: 20000, mean episode reward: -46.52755521567134, time: 54.28
steps: 524975, episodes: 21000, mean episode reward: -46.50146798751302, time: 53.683
steps: 549975, episodes: 22000, mean episode reward: -44.84954061438744, time: 53.829
steps: 574975, episodes: 23000, mean episode reward: -43.38071045537983, time: 54.856
steps: 599975, episodes: 24000, mean episode reward: -44.169487437821765, time: 55.097
steps: 624975, episodes: 25000, mean episode reward: -45.24976648177444, time: 55.022
steps: 649975, episodes: 26000, mean episode reward: -46.52321997457594, time: 55.445
steps: 674975, episodes: 27000, mean episode reward: -47.47661508861008, time: 54.993
steps: 699975, episodes: 28000, mean episode reward: -45.257801800939575, time: 55.409
steps: 724975, episodes: 29000, mean episode reward: -46.57508597036454, time: 54.87
steps: 749975, episodes: 30000, mean episode reward: -46.349763986766334, time: 54.801
steps: 774975, episodes: 31000, mean episode reward: -47.154002749702876, time: 54.806
steps: 799975, episodes: 32000, mean episode reward: -48.655534872473204, time: 55.052
steps: 824975, episodes: 33000, mean episode reward: -45.484975485937554, time: 54.515
steps: 849975, episodes: 34000, mean episode reward: -48.63072596860493, time: 53.643
steps: 874975, episodes: 35000, mean episode reward: -46.396501321502924, time: 54.595
steps: 899975, episodes: 36000, mean episode reward: -45.97124919228447, time: 54.806
steps: 924975, episodes: 37000, mean episode reward: -46.067683040032975, time: 55.123
steps: 949975, episodes: 38000, mean episode reward: -46.57734887524648, time: 55.308
steps: 974975, episodes: 39000, mean episode reward: -46.137056509547605, time: 54.493
steps: 999975, episodes: 40000, mean episode reward: -45.468792865120214, time: 54.794
steps: 1024975, episodes: 41000, mean episode reward: -46.480769041257865, time: 55.354
steps: 1049975, episodes: 42000, mean episode reward: -45.376564958014626, time: 54.714
