0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -139.54560654886555, time: 39.049
steps: 49975, episodes: 2000, mean episode reward: -84.3755351748622, time: 48.34
steps: 74975, episodes: 3000, mean episode reward: -55.2849416757144, time: 47.726
steps: 99975, episodes: 4000, mean episode reward: -45.3959774597372, time: 47.009
steps: 124975, episodes: 5000, mean episode reward: -44.388809704961695, time: 47.951
steps: 149975, episodes: 6000, mean episode reward: -44.09524262844454, time: 48.142
steps: 174975, episodes: 7000, mean episode reward: -43.94021839809361, time: 48.293
steps: 199975, episodes: 8000, mean episode reward: -44.68202193718463, time: 47.829
steps: 224975, episodes: 9000, mean episode reward: -41.6879971662753, time: 48.376
steps: 249975, episodes: 10000, mean episode reward: -41.4815207569934, time: 48.005
steps: 274975, episodes: 11000, mean episode reward: -40.6015085435432, time: 48.177
steps: 299975, episodes: 12000, mean episode reward: -34.702039575148085, time: 48.102
steps: 324975, episodes: 13000, mean episode reward: -35.22422556746817, time: 47.709
steps: 349975, episodes: 14000, mean episode reward: -32.431700020323646, time: 47.704
steps: 374975, episodes: 15000, mean episode reward: -31.195903706544147, time: 47.449
steps: 399975, episodes: 16000, mean episode reward: -30.37614452614603, time: 47.96
steps: 424975, episodes: 17000, mean episode reward: -28.8177058674656, time: 47.872
steps: 449975, episodes: 18000, mean episode reward: -30.217839526359253, time: 48.692
steps: 474975, episodes: 19000, mean episode reward: -29.21449487659239, time: 47.349
steps: 499975, episodes: 20000, mean episode reward: -30.353439583825356, time: 48.377
steps: 524975, episodes: 21000, mean episode reward: -30.09178439060495, time: 48.369
steps: 549975, episodes: 22000, mean episode reward: -30.133212147422796, time: 47.918
steps: 574975, episodes: 23000, mean episode reward: -29.387183868657253, time: 48.394
steps: 599975, episodes: 24000, mean episode reward: -28.658079788169488, time: 48.152
steps: 624975, episodes: 25000, mean episode reward: -28.922336862967285, time: 48.262
steps: 649975, episodes: 26000, mean episode reward: -28.071046579336144, time: 48.547
steps: 674975, episodes: 27000, mean episode reward: -30.833991878192716, time: 47.886
steps: 699975, episodes: 28000, mean episode reward: -29.176090013954514, time: 48.469
steps: 724975, episodes: 29000, mean episode reward: -27.93245120155974, time: 48.201
steps: 749975, episodes: 30000, mean episode reward: -28.76600043521643, time: 48.394
steps: 774975, episodes: 31000, mean episode reward: -28.252829074767817, time: 47.764
steps: 799975, episodes: 32000, mean episode reward: -29.429881725460728, time: 48.413
steps: 824975, episodes: 33000, mean episode reward: -30.31155497180263, time: 48.225
steps: 849975, episodes: 34000, mean episode reward: -30.20939816516683, time: 47.673
steps: 874975, episodes: 35000, mean episode reward: -30.574903259709107, time: 47.97
steps: 899975, episodes: 36000, mean episode reward: -30.63427903773445, time: 48.367
steps: 924975, episodes: 37000, mean episode reward: -30.22405916866863, time: 48.478
steps: 949975, episodes: 38000, mean episode reward: -29.785754009788906, time: 48.224
steps: 974975, episodes: 39000, mean episode reward: -29.831763441280795, time: 47.521
steps: 999975, episodes: 40000, mean episode reward: -30.341112887563018, time: 47.821
steps: 1024975, episodes: 41000, mean episode reward: -28.796393244495377, time: 48.612
steps: 1049975, episodes: 42000, mean episode reward: -29.178031979785796, time: 48.281
