0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -680.2183705131818, time: 53.273
steps: 49975, episodes: 2000, mean episode reward: -717.2791425243097, time: 82.006
steps: 74975, episodes: 3000, mean episode reward: -601.5085667237059, time: 80.115
steps: 99975, episodes: 4000, mean episode reward: -567.0287453534772, time: 79.221
steps: 124975, episodes: 5000, mean episode reward: -531.0967888762926, time: 79.651
steps: 149975, episodes: 6000, mean episode reward: -522.657591761995, time: 81.832
steps: 174975, episodes: 7000, mean episode reward: -510.24172437373227, time: 82.343
steps: 199975, episodes: 8000, mean episode reward: -504.39903019929136, time: 81.073
steps: 224975, episodes: 9000, mean episode reward: -495.8177581752724, time: 81.838
steps: 249975, episodes: 10000, mean episode reward: -496.4980523534325, time: 81.811
steps: 274975, episodes: 11000, mean episode reward: -491.9074454659312, time: 82.049
steps: 299975, episodes: 12000, mean episode reward: -484.666598858897, time: 82.408
steps: 324975, episodes: 13000, mean episode reward: -484.5360152209267, time: 82.622
steps: 349975, episodes: 14000, mean episode reward: -480.98622485798916, time: 82.59
steps: 374975, episodes: 15000, mean episode reward: -479.15377732845326, time: 80.852
steps: 399975, episodes: 16000, mean episode reward: -474.57229451275174, time: 81.182
steps: 424975, episodes: 17000, mean episode reward: -471.61512259677437, time: 81.326
steps: 449975, episodes: 18000, mean episode reward: -474.7944773959129, time: 82.048
steps: 474975, episodes: 19000, mean episode reward: -468.59735953578667, time: 81.544
steps: 499975, episodes: 20000, mean episode reward: -465.2322724687095, time: 81.72
steps: 524975, episodes: 21000, mean episode reward: -457.596646459116, time: 81.69
steps: 549975, episodes: 22000, mean episode reward: -457.9410820393304, time: 81.688
steps: 574975, episodes: 23000, mean episode reward: -456.1938157683661, time: 81.361
steps: 599975, episodes: 24000, mean episode reward: -454.98750228367965, time: 80.68
steps: 624975, episodes: 25000, mean episode reward: -447.4914770519836, time: 81.993
steps: 649975, episodes: 26000, mean episode reward: -445.98613183307054, time: 81.973
steps: 674975, episodes: 27000, mean episode reward: -443.98612890247233, time: 82.026
steps: 699975, episodes: 28000, mean episode reward: -440.68484408009147, time: 81.541
steps: 724975, episodes: 29000, mean episode reward: -441.66308792352663, time: 81.474
steps: 749975, episodes: 30000, mean episode reward: -436.47070852117065, time: 81.979
steps: 774975, episodes: 31000, mean episode reward: -434.95209662201637, time: 80.983
steps: 799975, episodes: 32000, mean episode reward: -436.0491832830818, time: 80.903
steps: 824975, episodes: 33000, mean episode reward: -426.5101262442342, time: 81.615
steps: 849975, episodes: 34000, mean episode reward: -429.9388165888706, time: 80.45
steps: 874975, episodes: 35000, mean episode reward: -423.7703370672612, time: 81.319
steps: 899975, episodes: 36000, mean episode reward: -424.79680896567277, time: 80.576
steps: 924975, episodes: 37000, mean episode reward: -426.1533524290684, time: 79.712
steps: 949975, episodes: 38000, mean episode reward: -419.5959247246514, time: 78.2
steps: 974975, episodes: 39000, mean episode reward: -417.29571060260076, time: 81.02
steps: 999975, episodes: 40000, mean episode reward: -416.3506672609671, time: 78.368
steps: 1024975, episodes: 41000, mean episode reward: -416.3168834601395, time: 77.284
steps: 1049975, episodes: 42000, mean episode reward: -414.9391522266002, time: 72.776
steps: 1074975, episodes: 43000, mean episode reward: -416.2603757864855, time: 70.548
steps: 1099975, episodes: 44000, mean episode reward: -410.9954019114123, time: 70.371
steps: 1124975, episodes: 45000, mean episode reward: -412.3505440409509, time: 70.282
