0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -158.29584138690325, time: 35.735
steps: 49975, episodes: 2000, mean episode reward: -139.7223724026864, time: 50.7
steps: 74975, episodes: 3000, mean episode reward: -68.61234611659933, time: 49.783
steps: 99975, episodes: 4000, mean episode reward: -62.870929661562506, time: 50.704
steps: 124975, episodes: 5000, mean episode reward: -59.875632630266765, time: 50.033
steps: 149975, episodes: 6000, mean episode reward: -59.998142517209686, time: 50.095
steps: 174975, episodes: 7000, mean episode reward: -60.203219500053926, time: 49.8
steps: 199975, episodes: 8000, mean episode reward: -61.535453985459384, time: 50.563
steps: 224975, episodes: 9000, mean episode reward: -62.38391447391963, time: 50.396
steps: 249975, episodes: 10000, mean episode reward: -60.55791433925125, time: 50.303
steps: 274975, episodes: 11000, mean episode reward: -62.792074626538565, time: 49.879
steps: 299975, episodes: 12000, mean episode reward: -61.672487226151205, time: 50.592
steps: 324975, episodes: 13000, mean episode reward: -65.57071875938648, time: 50.571
steps: 349975, episodes: 14000, mean episode reward: -65.93584499677233, time: 50.447
steps: 374975, episodes: 15000, mean episode reward: -63.34310128868498, time: 50.224
steps: 399975, episodes: 16000, mean episode reward: -64.39032864607908, time: 50.789
steps: 424975, episodes: 17000, mean episode reward: -63.80846782766628, time: 50.753
steps: 449975, episodes: 18000, mean episode reward: -63.36749824360726, time: 50.41
steps: 474975, episodes: 19000, mean episode reward: -65.02754722177488, time: 50.395
steps: 499975, episodes: 20000, mean episode reward: -65.42729620638961, time: 50.375
steps: 524975, episodes: 21000, mean episode reward: -65.1328202791499, time: 51.385
steps: 549975, episodes: 22000, mean episode reward: -65.09731053257501, time: 50.156
steps: 574975, episodes: 23000, mean episode reward: -64.04044930090645, time: 49.906
steps: 599975, episodes: 24000, mean episode reward: -67.34016603633657, time: 51.101
steps: 624975, episodes: 25000, mean episode reward: -66.26627155273799, time: 50.738
steps: 649975, episodes: 26000, mean episode reward: -67.15533975043456, time: 50.545
steps: 674975, episodes: 27000, mean episode reward: -67.0546114722786, time: 50.1
steps: 699975, episodes: 28000, mean episode reward: -65.94213433027659, time: 50.778
steps: 724975, episodes: 29000, mean episode reward: -64.07623926238433, time: 50.657
steps: 749975, episodes: 30000, mean episode reward: -66.75751330459119, time: 50.625
steps: 774975, episodes: 31000, mean episode reward: -66.09077568272673, time: 49.63
steps: 799975, episodes: 32000, mean episode reward: -68.61040694086219, time: 50.303
steps: 824975, episodes: 33000, mean episode reward: -68.4119627452248, time: 49.338
steps: 849975, episodes: 34000, mean episode reward: -67.0496731874449, time: 50.255
steps: 874975, episodes: 35000, mean episode reward: -65.92009420513422, time: 49.14
steps: 899975, episodes: 36000, mean episode reward: -66.91740888791463, time: 49.497
steps: 924975, episodes: 37000, mean episode reward: -65.20712537564108, time: 50.381
steps: 949975, episodes: 38000, mean episode reward: -65.27411033972214, time: 50.044
steps: 974975, episodes: 39000, mean episode reward: -67.31000834066525, time: 50.312
steps: 999975, episodes: 40000, mean episode reward: -66.26762788679294, time: 51.176
steps: 1024975, episodes: 41000, mean episode reward: -66.05504552006263, time: 50.251
steps: 1049975, episodes: 42000, mean episode reward: -66.51012899415193, time: 51.076
steps: 1074975, episodes: 43000, mean episode reward: -67.64379331932176, time: 50.505
steps: 1099975, episodes: 44000, mean episode reward: -72.85345461608819, time: 50.451
steps: 1124975, episodes: 45000, mean episode reward: -68.74530292435395, time: 50.783
steps: 1149975, episodes: 46000, mean episode reward: -71.50132410628355, time: 51.969
steps: 1174975, episodes: 47000, mean episode reward: -73.23344993490886, time: 52.3
steps: 1199975, episodes: 48000, mean episode reward: -72.09157521694019, time: 51.549
steps: 1224975, episodes: 49000, mean episode reward: -75.07811503441846, time: 52.188
steps: 1249975, episodes: 50000, mean episode reward: -76.2756610378061, time: 52.182
steps: 1274975, episodes: 51000, mean episode reward: -77.05097514739327, time: 51.523
steps: 1299975, episodes: 52000, mean episode reward: -76.75505437148698, time: 51.294
steps: 1324975, episodes: 53000, mean episode reward: -77.46329343642333, time: 52.698
steps: 1349975, episodes: 54000, mean episode reward: -75.92681041962747, time: 52.965
steps: 1374975, episodes: 55000, mean episode reward: -74.99647227286111, time: 52.809
steps: 1399975, episodes: 56000, mean episode reward: -77.58796187538842, time: 51.198
steps: 1424975, episodes: 57000, mean episode reward: -74.47675217211354, time: 52.363
steps: 1449975, episodes: 58000, mean episode reward: -74.33530241150818, time: 52.65
steps: 1474975, episodes: 59000, mean episode reward: -72.69980979628757, time: 51.602
steps: 1499975, episodes: 60000, mean episode reward: -72.86545963613693, time: 52.042
steps: 1524975, episodes: 61000, mean episode reward: -72.79468453587913, time: 52.166
steps: 1549975, episodes: 62000, mean episode reward: -75.97198230997289, time: 52.864
steps: 1574975, episodes: 63000, mean episode reward: -74.47788548235064, time: 52.521
steps: 1599975, episodes: 64000, mean episode reward: -75.62810119365156, time: 52.76
steps: 1624975, episodes: 65000, mean episode reward: -74.64204545835142, time: 52.605
steps: 1649975, episodes: 66000, mean episode reward: -73.0786900688186, time: 52.387
steps: 1674975, episodes: 67000, mean episode reward: -74.46413653787698, time: 52.067
steps: 1699975, episodes: 68000, mean episode reward: -74.82993561017001, time: 52.254
steps: 1724975, episodes: 69000, mean episode reward: -74.03071156081705, time: 52.2
steps: 1749975, episodes: 70000, mean episode reward: -72.06413235728958, time: 50.907
steps: 1774975, episodes: 71000, mean episode reward: -73.55778759913329, time: 52.107
steps: 1799975, episodes: 72000, mean episode reward: -73.13572851088189, time: 51.801
steps: 1824975, episodes: 73000, mean episode reward: -70.22567809947924, time: 52.278
steps: 1849975, episodes: 74000, mean episode reward: -71.67691613628969, time: 51.476
steps: 1874975, episodes: 75000, mean episode reward: -72.76672604737618, time: 51.597
steps: 1899975, episodes: 76000, mean episode reward: -72.79064021499015, time: 52.498
steps: 1924975, episodes: 77000, mean episode reward: -73.32866139441268, time: 52.092
steps: 1949975, episodes: 78000, mean episode reward: -75.52550898016175, time: 51.937
steps: 1974975, episodes: 79000, mean episode reward: -74.54855867199501, time: 52.202
steps: 1999975, episodes: 80000, mean episode reward: -74.93278798567903, time: 51.266
steps: 2024975, episodes: 81000, mean episode reward: -76.23961905118234, time: 52.063
steps: 2049975, episodes: 82000, mean episode reward: -71.2231978253911, time: 51.855
steps: 2074975, episodes: 83000, mean episode reward: -73.19896240968325, time: 51.343
steps: 2099975, episodes: 84000, mean episode reward: -71.4896849983397, time: 52.006
steps: 2124975, episodes: 85000, mean episode reward: -71.88369156960235, time: 51.824
steps: 2149975, episodes: 86000, mean episode reward: -73.03616051636553, time: 53.234
steps: 2174975, episodes: 87000, mean episode reward: -74.08341262606722, time: 52.401
steps: 2199975, episodes: 88000, mean episode reward: -72.56959514460092, time: 52.595
steps: 2224975, episodes: 89000, mean episode reward: -74.42452917162247, time: 51.558
steps: 2249975, episodes: 90000, mean episode reward: -72.29017772532924, time: 50.651
steps: 2274975, episodes: 91000, mean episode reward: -72.37370158667443, time: 52.313
steps: 2299975, episodes: 92000, mean episode reward: -71.44259487853608, time: 52.884
steps: 2324975, episodes: 93000, mean episode reward: -73.2418425805349, time: 51.312
steps: 2349975, episodes: 94000, mean episode reward: -72.7000457880334, time: 52.281
steps: 2374975, episodes: 95000, mean episode reward: -73.9449356903505, time: 52.394
steps: 2399975, episodes: 96000, mean episode reward: -71.88114983420326, time: 52.723
steps: 2424975, episodes: 97000, mean episode reward: -70.11840390837068, time: 51.567
steps: 2449975, episodes: 98000, mean episode reward: -69.4352385483659, time: 52.658
steps: 2474975, episodes: 99000, mean episode reward: -69.8671482174398, time: 53.352
steps: 2499975, episodes: 100000, mean episode reward: -69.92829910480401, time: 46.301
...Finished total of 100001 episodes.
