0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -676.0827162688414, time: 54.82
steps: 49975, episodes: 2000, mean episode reward: -691.3727722259148, time: 76.714
steps: 74975, episodes: 3000, mean episode reward: -593.1664867637812, time: 76.268
steps: 99975, episodes: 4000, mean episode reward: -577.0676423228899, time: 77.318
steps: 124975, episodes: 5000, mean episode reward: -562.6062734968297, time: 79.01
steps: 149975, episodes: 6000, mean episode reward: -553.1862994883872, time: 77.159
steps: 174975, episodes: 7000, mean episode reward: -553.6026374197136, time: 76.762
steps: 199975, episodes: 8000, mean episode reward: -539.2964903316829, time: 77.975
steps: 224975, episodes: 9000, mean episode reward: -534.0279834831509, time: 77.089
steps: 249975, episodes: 10000, mean episode reward: -535.4143282035625, time: 78.36
steps: 274975, episodes: 11000, mean episode reward: -526.3208666755403, time: 78.55
steps: 299975, episodes: 12000, mean episode reward: -527.1976080781363, time: 77.726
steps: 324975, episodes: 13000, mean episode reward: -525.3675800460353, time: 78.518
steps: 349975, episodes: 14000, mean episode reward: -521.2511994485944, time: 78.342
steps: 374975, episodes: 15000, mean episode reward: -520.3697704345195, time: 78.577
steps: 399975, episodes: 16000, mean episode reward: -521.4691348076449, time: 78.54
steps: 424975, episodes: 17000, mean episode reward: -514.6505799696433, time: 77.643
steps: 449975, episodes: 18000, mean episode reward: -522.1574574785978, time: 78.428
steps: 474975, episodes: 19000, mean episode reward: -513.2642002999635, time: 78.208
steps: 499975, episodes: 20000, mean episode reward: -520.5208436702692, time: 78.312
steps: 524975, episodes: 21000, mean episode reward: -518.0855838254533, time: 78.161
steps: 549975, episodes: 22000, mean episode reward: -521.7878177875747, time: 76.899
steps: 574975, episodes: 23000, mean episode reward: -521.701928278016, time: 77.304
steps: 599975, episodes: 24000, mean episode reward: -522.4792165834344, time: 78.308
steps: 624975, episodes: 25000, mean episode reward: -517.9432752503957, time: 77.319
steps: 649975, episodes: 26000, mean episode reward: -516.4889633252274, time: 79.417
steps: 674975, episodes: 27000, mean episode reward: -516.7242348841186, time: 80.302
steps: 699975, episodes: 28000, mean episode reward: -517.4133686035219, time: 79.924
steps: 724975, episodes: 29000, mean episode reward: -520.281976988365, time: 79.561
steps: 749975, episodes: 30000, mean episode reward: -523.3074236606725, time: 79.713
steps: 774975, episodes: 31000, mean episode reward: -523.8469134346344, time: 77.813
steps: 799975, episodes: 32000, mean episode reward: -524.1306652005122, time: 79.54
steps: 824975, episodes: 33000, mean episode reward: -520.0583619922393, time: 78.571
steps: 849975, episodes: 34000, mean episode reward: -527.0345328976103, time: 78.956
steps: 874975, episodes: 35000, mean episode reward: -525.1037484929196, time: 79.833
steps: 899975, episodes: 36000, mean episode reward: -523.1491664850307, time: 79.865
steps: 924975, episodes: 37000, mean episode reward: -526.4852914485872, time: 79.036
steps: 949975, episodes: 38000, mean episode reward: -516.8570613156726, time: 79.438
steps: 974975, episodes: 39000, mean episode reward: -524.5170827687397, time: 79.709
steps: 999975, episodes: 40000, mean episode reward: -525.4715410381789, time: 78.628
steps: 1024975, episodes: 41000, mean episode reward: -526.5347579418968, time: 80.178
steps: 1049975, episodes: 42000, mean episode reward: -525.2937677760308, time: 81.002
