0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -149.19674822599467, time: 10.209
steps: 49975, episodes: 2000, mean episode reward: -164.04016889818146, time: 24.727
steps: 74975, episodes: 3000, mean episode reward: -62.996229553384204, time: 26.164
steps: 99975, episodes: 4000, mean episode reward: -62.280269156103955, time: 25.83
steps: 124975, episodes: 5000, mean episode reward: -62.55968013199369, time: 26.715
steps: 149975, episodes: 6000, mean episode reward: -60.73660606639263, time: 26.918
steps: 174975, episodes: 7000, mean episode reward: -59.254776650064294, time: 26.383
steps: 199975, episodes: 8000, mean episode reward: -59.88148688615907, time: 25.929
steps: 224975, episodes: 9000, mean episode reward: -62.54213607685015, time: 26.036
steps: 249975, episodes: 10000, mean episode reward: -62.21674843978745, time: 25.985
steps: 274975, episodes: 11000, mean episode reward: -61.14073942055774, time: 26.497
steps: 299975, episodes: 12000, mean episode reward: -63.23479622509151, time: 26.416
steps: 324975, episodes: 13000, mean episode reward: -62.11570241878259, time: 26.13
steps: 349975, episodes: 14000, mean episode reward: -64.67314613808925, time: 26.464
steps: 374975, episodes: 15000, mean episode reward: -65.311258144025, time: 26.779
steps: 399975, episodes: 16000, mean episode reward: -65.09780116820305, time: 27.141
steps: 424975, episodes: 17000, mean episode reward: -64.48230133059052, time: 25.897
steps: 449975, episodes: 18000, mean episode reward: -61.8128118346349, time: 27.208
steps: 474975, episodes: 19000, mean episode reward: -63.92449951162851, time: 26.829
steps: 499975, episodes: 20000, mean episode reward: -65.38272451411687, time: 26.179
steps: 524975, episodes: 21000, mean episode reward: -66.72515475730452, time: 27.184
steps: 549975, episodes: 22000, mean episode reward: -65.59936753641192, time: 26.614
steps: 574975, episodes: 23000, mean episode reward: -66.49670803353384, time: 26.841
steps: 599975, episodes: 24000, mean episode reward: -65.96265580125689, time: 26.218
steps: 624975, episodes: 25000, mean episode reward: -66.7270996849293, time: 26.554
steps: 649975, episodes: 26000, mean episode reward: -69.84593251838652, time: 25.604
steps: 674975, episodes: 27000, mean episode reward: -64.62132642243746, time: 26.347
steps: 699975, episodes: 28000, mean episode reward: -65.98938550686367, time: 26.721
steps: 724975, episodes: 29000, mean episode reward: -68.21564417567009, time: 26.766
steps: 749975, episodes: 30000, mean episode reward: -65.78254631446416, time: 26.03
steps: 774975, episodes: 31000, mean episode reward: -68.55984883959123, time: 26.306
