0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -151.66142296667553, time: 22.533
steps: 49975, episodes: 2000, mean episode reward: -115.63899157364357, time: 32.713
steps: 74975, episodes: 3000, mean episode reward: -57.9594263160034, time: 30.306
steps: 99975, episodes: 4000, mean episode reward: -61.28681729948762, time: 31.509
steps: 124975, episodes: 5000, mean episode reward: -60.41330540728862, time: 34.806
steps: 149975, episodes: 6000, mean episode reward: -60.592070625572575, time: 45.772
steps: 174975, episodes: 7000, mean episode reward: -58.01323403539245, time: 48.451
steps: 199975, episodes: 8000, mean episode reward: -61.47825858453836, time: 47.743
steps: 224975, episodes: 9000, mean episode reward: -61.1756747898874, time: 46.971
steps: 249975, episodes: 10000, mean episode reward: -58.75115400013061, time: 47.915
steps: 274975, episodes: 11000, mean episode reward: -55.41370475082779, time: 47.864
steps: 299975, episodes: 12000, mean episode reward: -51.058438978617005, time: 47.544
steps: 324975, episodes: 13000, mean episode reward: -50.683445294416174, time: 47.766
steps: 349975, episodes: 14000, mean episode reward: -51.13034691236636, time: 48.812
steps: 374975, episodes: 15000, mean episode reward: -51.120228430436086, time: 47.501
steps: 399975, episodes: 16000, mean episode reward: -51.10202617675625, time: 47.57
steps: 424975, episodes: 17000, mean episode reward: -50.22047188748568, time: 47.417
steps: 449975, episodes: 18000, mean episode reward: -53.316155625994156, time: 47.991
steps: 474975, episodes: 19000, mean episode reward: -54.095666533376324, time: 48.239
steps: 499975, episodes: 20000, mean episode reward: -53.906062855088194, time: 48.682
steps: 524975, episodes: 21000, mean episode reward: -54.359085127408164, time: 48.192
steps: 549975, episodes: 22000, mean episode reward: -50.58722113435069, time: 48.189
steps: 574975, episodes: 23000, mean episode reward: -52.63470755446174, time: 49.094
steps: 599975, episodes: 24000, mean episode reward: -54.30287953981315, time: 46.965
steps: 624975, episodes: 25000, mean episode reward: -53.59736915605501, time: 48.388
steps: 649975, episodes: 26000, mean episode reward: -53.21180504371987, time: 48.89
steps: 674975, episodes: 27000, mean episode reward: -51.55232218696184, time: 48.048
steps: 699975, episodes: 28000, mean episode reward: -52.54756155651026, time: 48.507
steps: 724975, episodes: 29000, mean episode reward: -52.38130995544554, time: 48.88
steps: 749975, episodes: 30000, mean episode reward: -53.10661685456535, time: 48.255
steps: 774975, episodes: 31000, mean episode reward: -53.11895084859943, time: 47.825
steps: 799975, episodes: 32000, mean episode reward: -52.382318765157926, time: 47.635
steps: 824975, episodes: 33000, mean episode reward: -54.93401417375446, time: 48.593
steps: 849975, episodes: 34000, mean episode reward: -52.68729491144944, time: 48.09
steps: 874975, episodes: 35000, mean episode reward: -52.87995248490756, time: 48.084
steps: 899975, episodes: 36000, mean episode reward: -55.07067284859962, time: 48.151
steps: 924975, episodes: 37000, mean episode reward: -54.1871900537411, time: 48.899
steps: 949975, episodes: 38000, mean episode reward: -56.86285302799444, time: 48.568
steps: 974975, episodes: 39000, mean episode reward: -54.30868183289133, time: 48.651
steps: 999975, episodes: 40000, mean episode reward: -54.74377778999864, time: 49.123
steps: 1024975, episodes: 41000, mean episode reward: -56.06289604581902, time: 48.399
steps: 1049975, episodes: 42000, mean episode reward: -59.000368159625594, time: 46.998
steps: 1074975, episodes: 43000, mean episode reward: -56.398055929052646, time: 47.996
steps: 1099975, episodes: 44000, mean episode reward: -56.51944244122915, time: 48.851
steps: 1124975, episodes: 45000, mean episode reward: -58.062691326000845, time: 48.161
steps: 1149975, episodes: 46000, mean episode reward: -60.619359053880885, time: 48.951
steps: 1174975, episodes: 47000, mean episode reward: -56.93900616389299, time: 48.702
steps: 1199975, episodes: 48000, mean episode reward: -57.94637412209826, time: 48.805
steps: 1224975, episodes: 49000, mean episode reward: -60.426679659401984, time: 49.047
steps: 1249975, episodes: 50000, mean episode reward: -58.147194055441666, time: 48.247
steps: 1274975, episodes: 51000, mean episode reward: -59.97331239671046, time: 48.908
steps: 1299975, episodes: 52000, mean episode reward: -59.8893954646824, time: 48.428
steps: 1324975, episodes: 53000, mean episode reward: -57.55616576924479, time: 49.283
steps: 1349975, episodes: 54000, mean episode reward: -59.36467032658635, time: 48.716
steps: 1374975, episodes: 55000, mean episode reward: -60.931946693948525, time: 46.865
steps: 1399975, episodes: 56000, mean episode reward: -58.894382688052076, time: 48.325
steps: 1424975, episodes: 57000, mean episode reward: -60.05155099014839, time: 48.125
steps: 1449975, episodes: 58000, mean episode reward: -58.64543487775652, time: 48.37
steps: 1474975, episodes: 59000, mean episode reward: -58.09300621164494, time: 49.059
steps: 1499975, episodes: 60000, mean episode reward: -54.97842547623086, time: 48.496
steps: 1524975, episodes: 61000, mean episode reward: -57.59093301276363, time: 48.354
steps: 1549975, episodes: 62000, mean episode reward: -58.54175563469003, time: 48.736
steps: 1574975, episodes: 63000, mean episode reward: -56.60167801061332, time: 48.8
steps: 1599975, episodes: 64000, mean episode reward: -57.49230690772007, time: 48.58
steps: 1624975, episodes: 65000, mean episode reward: -59.413943240579584, time: 48.519
steps: 1649975, episodes: 66000, mean episode reward: -61.590242270444534, time: 49.151
steps: 1674975, episodes: 67000, mean episode reward: -60.15924647275936, time: 48.599
steps: 1699975, episodes: 68000, mean episode reward: -58.530662556599026, time: 48.698
steps: 1724975, episodes: 69000, mean episode reward: -60.6778811687528, time: 48.562
steps: 1749975, episodes: 70000, mean episode reward: -59.45683708047113, time: 48.944
steps: 1774975, episodes: 71000, mean episode reward: -61.684653937584805, time: 49.027
steps: 1799975, episodes: 72000, mean episode reward: -59.53312426722062, time: 48.98
steps: 1824975, episodes: 73000, mean episode reward: -61.26134381046415, time: 49.248
steps: 1849975, episodes: 74000, mean episode reward: -62.75814580254091, time: 48.645
steps: 1874975, episodes: 75000, mean episode reward: -61.377104383001594, time: 49.03
steps: 1899975, episodes: 76000, mean episode reward: -60.70094188468393, time: 48.161
steps: 1924975, episodes: 77000, mean episode reward: -60.90046312061677, time: 48.633
steps: 1949975, episodes: 78000, mean episode reward: -61.99046924421943, time: 47.604
steps: 1974975, episodes: 79000, mean episode reward: -62.213331497569236, time: 48.821
steps: 1999975, episodes: 80000, mean episode reward: -62.72212419344228, time: 48.936
steps: 2024975, episodes: 81000, mean episode reward: -65.77757127938752, time: 49.102
steps: 2049975, episodes: 82000, mean episode reward: -62.1892251222727, time: 48.837
steps: 2074975, episodes: 83000, mean episode reward: -58.71181176590018, time: 49.707
steps: 2099975, episodes: 84000, mean episode reward: -59.53971769469191, time: 48.809
steps: 2124975, episodes: 85000, mean episode reward: -62.67957328264035, time: 49.162
steps: 2149975, episodes: 86000, mean episode reward: -63.64633906122835, time: 48.663
steps: 2174975, episodes: 87000, mean episode reward: -64.50678576543014, time: 49.691
steps: 2199975, episodes: 88000, mean episode reward: -65.03621462322361, time: 49.15
steps: 2224975, episodes: 89000, mean episode reward: -57.95609718547728, time: 49.056
steps: 2249975, episodes: 90000, mean episode reward: -64.78232692878741, time: 49.019
