0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -663.2423708086952, time: 58.985
steps: 49975, episodes: 2000, mean episode reward: -738.0104326411347, time: 87.581
steps: 74975, episodes: 3000, mean episode reward: -594.6945974960114, time: 86.038
steps: 99975, episodes: 4000, mean episode reward: -579.4609606010523, time: 84.819
steps: 124975, episodes: 5000, mean episode reward: -568.9450398443067, time: 84.401
steps: 149975, episodes: 6000, mean episode reward: -563.4839503855379, time: 87.62
steps: 174975, episodes: 7000, mean episode reward: -552.9331812716383, time: 86.849
steps: 199975, episodes: 8000, mean episode reward: -544.7310302697215, time: 86.838
steps: 224975, episodes: 9000, mean episode reward: -542.4196943292403, time: 86.769
steps: 249975, episodes: 10000, mean episode reward: -543.3765958067528, time: 85.791
steps: 274975, episodes: 11000, mean episode reward: -534.9620595558409, time: 83.316
steps: 299975, episodes: 12000, mean episode reward: -528.1950687789262, time: 84.722
steps: 324975, episodes: 13000, mean episode reward: -524.8866676438496, time: 86.904
steps: 349975, episodes: 14000, mean episode reward: -522.1988895017661, time: 86.208
steps: 374975, episodes: 15000, mean episode reward: -518.4407691699635, time: 85.602
steps: 399975, episodes: 16000, mean episode reward: -516.3043090202993, time: 85.346
steps: 424975, episodes: 17000, mean episode reward: -513.2084921704056, time: 86.024
steps: 449975, episodes: 18000, mean episode reward: -522.786340111443, time: 85.33
steps: 474975, episodes: 19000, mean episode reward: -524.5571589952533, time: 87.447
steps: 499975, episodes: 20000, mean episode reward: -516.8651130628698, time: 87.082
steps: 524975, episodes: 21000, mean episode reward: -518.90122307547, time: 85.787
steps: 549975, episodes: 22000, mean episode reward: -522.4266120266295, time: 85.568
steps: 574975, episodes: 23000, mean episode reward: -517.0056921283796, time: 85.882
steps: 599975, episodes: 24000, mean episode reward: -517.7178464645401, time: 87.939
steps: 624975, episodes: 25000, mean episode reward: -514.6372239575525, time: 86.308
steps: 649975, episodes: 26000, mean episode reward: -514.1611315228542, time: 85.907
steps: 674975, episodes: 27000, mean episode reward: -513.6230537035332, time: 87.038
steps: 699975, episodes: 28000, mean episode reward: -517.1192501113512, time: 86.292
steps: 724975, episodes: 29000, mean episode reward: -516.7585323414443, time: 85.94
steps: 749975, episodes: 30000, mean episode reward: -521.8149370439006, time: 86.235
steps: 774975, episodes: 31000, mean episode reward: -517.5876245816662, time: 84.186
steps: 799975, episodes: 32000, mean episode reward: -518.4755200345887, time: 86.911
steps: 824975, episodes: 33000, mean episode reward: -516.5959181850395, time: 82.838
steps: 849975, episodes: 34000, mean episode reward: -516.8474721519066, time: 85.24
steps: 874975, episodes: 35000, mean episode reward: -512.355245548105, time: 87.558
steps: 899975, episodes: 36000, mean episode reward: -518.0777525751365, time: 86.961
steps: 924975, episodes: 37000, mean episode reward: -516.5847631825454, time: 88.81
steps: 949975, episodes: 38000, mean episode reward: -515.4021978132462, time: 89.359
steps: 974975, episodes: 39000, mean episode reward: -515.2584795039105, time: 86.282
steps: 999975, episodes: 40000, mean episode reward: -517.7993242326176, time: 86.393
steps: 1024975, episodes: 41000, mean episode reward: -518.9982037862003, time: 88.695
steps: 1049975, episodes: 42000, mean episode reward: -517.7075685116108, time: 88.527
steps: 1074975, episodes: 43000, mean episode reward: -514.8408979891328, time: 89.956
steps: 1099975, episodes: 44000, mean episode reward: -519.0283764002655, time: 90.292
steps: 1124975, episodes: 45000, mean episode reward: -518.4117456305605, time: 90.128
steps: 1149975, episodes: 46000, mean episode reward: -516.3199537970505, time: 91.277
steps: 1174975, episodes: 47000, mean episode reward: -518.1902506463496, time: 91.967
steps: 1199975, episodes: 48000, mean episode reward: -516.9547507256112, time: 91.109
steps: 1224975, episodes: 49000, mean episode reward: -522.1846441046093, time: 92.305
steps: 1249975, episodes: 50000, mean episode reward: -516.3893840983856, time: 89.974
steps: 1274975, episodes: 51000, mean episode reward: -515.6138551015065, time: 91.899
steps: 1299975, episodes: 52000, mean episode reward: -518.6965663228891, time: 90.127
