0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -675.2458570432218, time: 20.321
steps: 49975, episodes: 2000, mean episode reward: -781.0784568381155, time: 47.518
steps: 74975, episodes: 3000, mean episode reward: -598.6126651459512, time: 46.595
steps: 99975, episodes: 4000, mean episode reward: -573.792477374131, time: 47.187
steps: 124975, episodes: 5000, mean episode reward: -564.0807594953296, time: 47.87
steps: 149975, episodes: 6000, mean episode reward: -560.2648891558105, time: 47.973
steps: 174975, episodes: 7000, mean episode reward: -558.6711253976982, time: 48.007
steps: 199975, episodes: 8000, mean episode reward: -544.8322636779258, time: 47.285
steps: 224975, episodes: 9000, mean episode reward: -538.9577985057934, time: 47.545
steps: 249975, episodes: 10000, mean episode reward: -534.4433293875035, time: 48.012
steps: 274975, episodes: 11000, mean episode reward: -526.5363045105889, time: 48.752
steps: 299975, episodes: 12000, mean episode reward: -528.1039880713431, time: 48.077
steps: 324975, episodes: 13000, mean episode reward: -520.7484503705099, time: 48.732
steps: 349975, episodes: 14000, mean episode reward: -523.2636871896834, time: 48.718
steps: 374975, episodes: 15000, mean episode reward: -522.2934538971248, time: 48.684
steps: 399975, episodes: 16000, mean episode reward: -523.2276985832552, time: 49.357
steps: 424975, episodes: 17000, mean episode reward: -523.2205141646986, time: 49.022
steps: 449975, episodes: 18000, mean episode reward: -525.4229679315513, time: 48.903
steps: 474975, episodes: 19000, mean episode reward: -522.0782025772534, time: 48.978
steps: 499975, episodes: 20000, mean episode reward: -528.5223778340558, time: 49.032
steps: 524975, episodes: 21000, mean episode reward: -521.1376942747214, time: 49.028
steps: 549975, episodes: 22000, mean episode reward: -524.3533062856416, time: 48.973
steps: 574975, episodes: 23000, mean episode reward: -524.197786971286, time: 49.752
steps: 599975, episodes: 24000, mean episode reward: -525.2333962395694, time: 49.695
steps: 624975, episodes: 25000, mean episode reward: -522.2195536165327, time: 49.609
steps: 649975, episodes: 26000, mean episode reward: -520.1148423203219, time: 49.572
steps: 674975, episodes: 27000, mean episode reward: -523.1530496890698, time: 50.121
steps: 699975, episodes: 28000, mean episode reward: -520.8539574328966, time: 49.81
steps: 724975, episodes: 29000, mean episode reward: -520.3705129337898, time: 49.788
steps: 749975, episodes: 30000, mean episode reward: -517.0894945389225, time: 49.7
steps: 774975, episodes: 31000, mean episode reward: -522.7959308225394, time: 50.077
steps: 799975, episodes: 32000, mean episode reward: -525.0880530311823, time: 49.91
steps: 824975, episodes: 33000, mean episode reward: -515.8170089188276, time: 50.845
steps: 849975, episodes: 34000, mean episode reward: -523.9948349982975, time: 50.065
steps: 874975, episodes: 35000, mean episode reward: -521.7904811338628, time: 51.025
steps: 899975, episodes: 36000, mean episode reward: -520.087125682638, time: 50.499
steps: 924975, episodes: 37000, mean episode reward: -518.1480102765412, time: 49.744
steps: 949975, episodes: 38000, mean episode reward: -519.282690871324, time: 50.474
steps: 974975, episodes: 39000, mean episode reward: -521.9814270231891, time: 50.458
steps: 999975, episodes: 40000, mean episode reward: -519.8180521982825, time: 50.998
steps: 1024975, episodes: 41000, mean episode reward: -519.0988398889116, time: 50.541
steps: 1049975, episodes: 42000, mean episode reward: -521.7337693871382, time: 51.044
steps: 1074975, episodes: 43000, mean episode reward: -516.5877458469748, time: 51.009
steps: 1099975, episodes: 44000, mean episode reward: -515.9623362329335, time: 50.746
steps: 1124975, episodes: 45000, mean episode reward: -516.024397086579, time: 51.353
steps: 1149975, episodes: 46000, mean episode reward: -517.8862754351211, time: 51.646
steps: 1174975, episodes: 47000, mean episode reward: -523.9912762441882, time: 50.322
steps: 1199975, episodes: 48000, mean episode reward: -520.4202738415654, time: 50.521
steps: 1224975, episodes: 49000, mean episode reward: -515.4242991130617, time: 51.695
steps: 1249975, episodes: 50000, mean episode reward: -518.9561445207465, time: 51.672
steps: 1274975, episodes: 51000, mean episode reward: -517.2032332654, time: 50.418
steps: 1299975, episodes: 52000, mean episode reward: -517.6498884495855, time: 51.34
steps: 1324975, episodes: 53000, mean episode reward: -529.0576689760527, time: 48.178
steps: 1349975, episodes: 54000, mean episode reward: -526.226235603051, time: 51.001
steps: 1374975, episodes: 55000, mean episode reward: -526.467089372249, time: 50.43
steps: 1399975, episodes: 56000, mean episode reward: -529.400362177508, time: 50.695
steps: 1424975, episodes: 57000, mean episode reward: -534.3222127972152, time: 50.254
steps: 1449975, episodes: 58000, mean episode reward: -537.3546731325788, time: 50.408
steps: 1474975, episodes: 59000, mean episode reward: -533.8059030686939, time: 50.826
steps: 1499975, episodes: 60000, mean episode reward: -536.6437258774162, time: 48.834
steps: 1524975, episodes: 61000, mean episode reward: -534.9436834437138, time: 48.747
steps: 1549975, episodes: 62000, mean episode reward: -532.6914361463919, time: 49.179
steps: 1574975, episodes: 63000, mean episode reward: -541.2121455393043, time: 48.769
steps: 1599975, episodes: 64000, mean episode reward: -536.3336455553192, time: 48.904
steps: 1624975, episodes: 65000, mean episode reward: -536.8927233559602, time: 48.628
steps: 1649975, episodes: 66000, mean episode reward: -537.134905705559, time: 48.872
steps: 1674975, episodes: 67000, mean episode reward: -541.6954191130646, time: 50.663
steps: 1699975, episodes: 68000, mean episode reward: -538.5252253160884, time: 50.12
steps: 1724975, episodes: 69000, mean episode reward: -538.136103261457, time: 49.931
steps: 1749975, episodes: 70000, mean episode reward: -540.4428108428173, time: 50.822
steps: 1774975, episodes: 71000, mean episode reward: -540.269521151607, time: 48.836
steps: 1799975, episodes: 72000, mean episode reward: -551.9052791556668, time: 50.213
steps: 1824975, episodes: 73000, mean episode reward: -539.6243982477372, time: 50.262
steps: 1849975, episodes: 74000, mean episode reward: -541.6692146723052, time: 51.025
steps: 1874975, episodes: 75000, mean episode reward: -546.3030093229045, time: 50.831
steps: 1899975, episodes: 76000, mean episode reward: -541.5773996180012, time: 49.138
