0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -148.6072683384412, time: 72.077
steps: 49975, episodes: 2000, mean episode reward: -242.4379059326077, time: 86.776
steps: 74975, episodes: 3000, mean episode reward: -77.99577538610592, time: 74.189
steps: 99975, episodes: 4000, mean episode reward: -62.736246799931486, time: 74.952
steps: 124975, episodes: 5000, mean episode reward: -63.02671189034093, time: 76.461
steps: 149975, episodes: 6000, mean episode reward: -62.10019002611861, time: 76.359
steps: 174975, episodes: 7000, mean episode reward: -60.51541381889852, time: 77.603
steps: 199975, episodes: 8000, mean episode reward: -60.749645807398544, time: 76.531
steps: 224975, episodes: 9000, mean episode reward: -61.74003713683687, time: 76.21
steps: 249975, episodes: 10000, mean episode reward: -59.42900007329545, time: 75.806
steps: 274975, episodes: 11000, mean episode reward: -59.66868049539827, time: 75.895
steps: 299975, episodes: 12000, mean episode reward: -60.97946885334293, time: 77.252
steps: 324975, episodes: 13000, mean episode reward: -59.59147982243533, time: 77.088
steps: 349975, episodes: 14000, mean episode reward: -56.74042008777559, time: 76.259
steps: 374975, episodes: 15000, mean episode reward: -56.40125527434303, time: 76.916
steps: 399975, episodes: 16000, mean episode reward: -55.04085440509641, time: 77.5
steps: 424975, episodes: 17000, mean episode reward: -53.11502449690359, time: 76.04
steps: 449975, episodes: 18000, mean episode reward: -52.51658583330439, time: 76.877
steps: 474975, episodes: 19000, mean episode reward: -49.21691203374913, time: 76.638
steps: 499975, episodes: 20000, mean episode reward: -47.77211503474753, time: 76.461
steps: 524975, episodes: 21000, mean episode reward: -48.08284414350209, time: 77.303
steps: 549975, episodes: 22000, mean episode reward: -45.29181292580181, time: 77.851
steps: 574975, episodes: 23000, mean episode reward: -46.490744491670924, time: 77.625
steps: 599975, episodes: 24000, mean episode reward: -47.97593282577679, time: 75.911
steps: 624975, episodes: 25000, mean episode reward: -46.47933224750342, time: 74.915
steps: 649975, episodes: 26000, mean episode reward: -44.341273591770275, time: 76.455
steps: 674975, episodes: 27000, mean episode reward: -44.068968278317996, time: 76.814
steps: 699975, episodes: 28000, mean episode reward: -48.03301235666577, time: 74.363
steps: 724975, episodes: 29000, mean episode reward: -44.23859207025237, time: 76.122
steps: 749975, episodes: 30000, mean episode reward: -44.71485417025341, time: 76.017
steps: 774975, episodes: 31000, mean episode reward: -42.26962747629678, time: 77.549
steps: 799975, episodes: 32000, mean episode reward: -42.578026180381215, time: 76.736
steps: 824975, episodes: 33000, mean episode reward: -43.6364840974017, time: 76.883
steps: 849975, episodes: 34000, mean episode reward: -43.042297726378, time: 75.876
steps: 874975, episodes: 35000, mean episode reward: -44.252695280138376, time: 78.17
steps: 899975, episodes: 36000, mean episode reward: -44.48515359510254, time: 77.654
steps: 924975, episodes: 37000, mean episode reward: -43.54086918948746, time: 76.721
steps: 949975, episodes: 38000, mean episode reward: -42.80183483405396, time: 75.743
steps: 974975, episodes: 39000, mean episode reward: -41.525431812530826, time: 75.276
steps: 999975, episodes: 40000, mean episode reward: -41.72445074566988, time: 76.829
steps: 1024975, episodes: 41000, mean episode reward: -43.7024670577409, time: 76.826
steps: 1049975, episodes: 42000, mean episode reward: -40.727380365235774, time: 77.235
steps: 1074975, episodes: 43000, mean episode reward: -39.50324088013559, time: 76.609
steps: 1099975, episodes: 44000, mean episode reward: -40.151747602839286, time: 74.252
steps: 1124975, episodes: 45000, mean episode reward: -39.9931433181819, time: 74.935
steps: 1149975, episodes: 46000, mean episode reward: -40.06792552006067, time: 74.01
steps: 1174975, episodes: 47000, mean episode reward: -38.24585709829542, time: 74.238
steps: 1199975, episodes: 48000, mean episode reward: -38.91852673714097, time: 74.998
steps: 1224975, episodes: 49000, mean episode reward: -38.19450249980727, time: 74.731
