0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -698.0632568595983, time: 111.299
steps: 49975, episodes: 2000, mean episode reward: -784.6794885112478, time: 132.507
steps: 74975, episodes: 3000, mean episode reward: -583.6223969362788, time: 129.777
steps: 99975, episodes: 4000, mean episode reward: -555.8934494156974, time: 131.129
steps: 124975, episodes: 5000, mean episode reward: -537.1310238382526, time: 129.764
steps: 149975, episodes: 6000, mean episode reward: -526.0444286279574, time: 130.72
steps: 174975, episodes: 7000, mean episode reward: -515.939999002476, time: 130.11
steps: 199975, episodes: 8000, mean episode reward: -510.7457339531875, time: 128.815
steps: 224975, episodes: 9000, mean episode reward: -510.4413834123794, time: 128.499
steps: 249975, episodes: 10000, mean episode reward: -508.9303187385739, time: 128.119
steps: 274975, episodes: 11000, mean episode reward: -499.93008751729127, time: 128.183
steps: 299975, episodes: 12000, mean episode reward: -497.6476891626207, time: 129.601
steps: 324975, episodes: 13000, mean episode reward: -500.90196639064396, time: 131.992
steps: 349975, episodes: 14000, mean episode reward: -495.4841067454747, time: 131.869
steps: 374975, episodes: 15000, mean episode reward: -489.0124256043726, time: 127.677
steps: 399975, episodes: 16000, mean episode reward: -487.8490645120816, time: 128.54
steps: 424975, episodes: 17000, mean episode reward: -485.93500138766376, time: 130.229
steps: 449975, episodes: 18000, mean episode reward: -484.22183257290175, time: 129.125
steps: 474975, episodes: 19000, mean episode reward: -480.4561987868176, time: 129.289
steps: 499975, episodes: 20000, mean episode reward: -481.7578203736531, time: 131.316
steps: 524975, episodes: 21000, mean episode reward: -482.74962633389026, time: 128.693
steps: 549975, episodes: 22000, mean episode reward: -474.10896706002137, time: 128.711
steps: 574975, episodes: 23000, mean episode reward: -477.2804269533326, time: 127.713
steps: 599975, episodes: 24000, mean episode reward: -473.28422417825726, time: 128.683
steps: 624975, episodes: 25000, mean episode reward: -478.5583565229054, time: 128.095
steps: 649975, episodes: 26000, mean episode reward: -476.3111208493298, time: 128.467
steps: 674975, episodes: 27000, mean episode reward: -470.66108836486086, time: 129.703
steps: 699975, episodes: 28000, mean episode reward: -473.13024492453275, time: 128.459
steps: 724975, episodes: 29000, mean episode reward: -472.4385807675878, time: 130.767
steps: 749975, episodes: 30000, mean episode reward: -470.98071561924786, time: 129.718
steps: 774975, episodes: 31000, mean episode reward: -465.6226937678211, time: 130.164
steps: 799975, episodes: 32000, mean episode reward: -467.530208617326, time: 129.0
steps: 824975, episodes: 33000, mean episode reward: -468.17601756030194, time: 129.209
steps: 849975, episodes: 34000, mean episode reward: -465.0721717134386, time: 130.178
