0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -144.86968739422986, time: 40.056
steps: 49975, episodes: 2000, mean episode reward: -213.58454544554598, time: 51.927
steps: 74975, episodes: 3000, mean episode reward: -73.63734961360544, time: 51.122
steps: 99975, episodes: 4000, mean episode reward: -66.99323295561123, time: 51.98
steps: 124975, episodes: 5000, mean episode reward: -61.46136498221839, time: 51.64
steps: 149975, episodes: 6000, mean episode reward: -60.169048238209825, time: 51.606
steps: 174975, episodes: 7000, mean episode reward: -58.28215132841462, time: 51.635
steps: 199975, episodes: 8000, mean episode reward: -56.78614796835577, time: 51.495
steps: 224975, episodes: 9000, mean episode reward: -54.35570367216401, time: 51.613
steps: 249975, episodes: 10000, mean episode reward: -53.601005074489365, time: 52.134
steps: 274975, episodes: 11000, mean episode reward: -53.78774251884307, time: 51.696
steps: 299975, episodes: 12000, mean episode reward: -53.45034324814902, time: 52.193
steps: 324975, episodes: 13000, mean episode reward: -49.60905562598103, time: 52.757
steps: 349975, episodes: 14000, mean episode reward: -48.38390051865957, time: 51.73
steps: 374975, episodes: 15000, mean episode reward: -46.45267868512718, time: 51.96
steps: 399975, episodes: 16000, mean episode reward: -46.78648154470831, time: 51.688
steps: 424975, episodes: 17000, mean episode reward: -46.082516173039885, time: 51.509
steps: 449975, episodes: 18000, mean episode reward: -43.7197701105366, time: 50.896
steps: 474975, episodes: 19000, mean episode reward: -46.018304592571326, time: 51.398
steps: 499975, episodes: 20000, mean episode reward: -44.16385119170262, time: 52.515
steps: 524975, episodes: 21000, mean episode reward: -45.60691738123987, time: 52.162
steps: 549975, episodes: 22000, mean episode reward: -42.7523870838369, time: 52.004
steps: 574975, episodes: 23000, mean episode reward: -42.489908079702815, time: 51.767
steps: 599975, episodes: 24000, mean episode reward: -41.517290176294175, time: 51.754
steps: 624975, episodes: 25000, mean episode reward: -43.42736865287435, time: 52.064
steps: 649975, episodes: 26000, mean episode reward: -41.24484889896637, time: 51.004
steps: 674975, episodes: 27000, mean episode reward: -41.01714596980114, time: 51.794
steps: 699975, episodes: 28000, mean episode reward: -42.586546420832086, time: 51.418
steps: 724975, episodes: 29000, mean episode reward: -42.580631087921574, time: 52.45
steps: 749975, episodes: 30000, mean episode reward: -41.33663508029668, time: 50.559
steps: 774975, episodes: 31000, mean episode reward: -40.855216755826305, time: 52.716
steps: 799975, episodes: 32000, mean episode reward: -42.452569279710474, time: 51.557
steps: 824975, episodes: 33000, mean episode reward: -42.485810280874986, time: 52.472
steps: 849975, episodes: 34000, mean episode reward: -40.625514880900795, time: 52.34
steps: 874975, episodes: 35000, mean episode reward: -40.192715207922134, time: 52.014
steps: 899975, episodes: 36000, mean episode reward: -40.30160391333113, time: 51.156
steps: 924975, episodes: 37000, mean episode reward: -41.60433997860887, time: 51.867
steps: 949975, episodes: 38000, mean episode reward: -41.74997542888909, time: 51.554
steps: 974975, episodes: 39000, mean episode reward: -40.0965567506636, time: 51.684
steps: 999975, episodes: 40000, mean episode reward: -41.4670051584966, time: 51.586
steps: 1024975, episodes: 41000, mean episode reward: -39.912901137703145, time: 52.39
steps: 1049975, episodes: 42000, mean episode reward: -40.923675621498916, time: 52.819
steps: 1074975, episodes: 43000, mean episode reward: -38.37303422006755, time: 51.693
steps: 1099975, episodes: 44000, mean episode reward: -39.8893612854236, time: 52.374
steps: 1124975, episodes: 45000, mean episode reward: -39.09603675302678, time: 51.579
steps: 1149975, episodes: 46000, mean episode reward: -39.90334764993776, time: 51.713
steps: 1174975, episodes: 47000, mean episode reward: -39.66088917571356, time: 52.406
steps: 1199975, episodes: 48000, mean episode reward: -39.5583339588209, time: 52.077
steps: 1224975, episodes: 49000, mean episode reward: -39.89194604383781, time: 51.802
steps: 1249975, episodes: 50000, mean episode reward: -40.0345017729933, time: 52.202
steps: 1274975, episodes: 51000, mean episode reward: -41.5820624704338, time: 51.868
steps: 1299975, episodes: 52000, mean episode reward: -40.511838734038, time: 52.88
steps: 1324975, episodes: 53000, mean episode reward: -40.36271357224934, time: 52.583
steps: 1349975, episodes: 54000, mean episode reward: -39.83988490493207, time: 52.441
steps: 1374975, episodes: 55000, mean episode reward: -40.3232130305282, time: 52.43
steps: 1399975, episodes: 56000, mean episode reward: -42.51944007755829, time: 53.042
steps: 1424975, episodes: 57000, mean episode reward: -44.48714209594144, time: 52.054
steps: 1449975, episodes: 58000, mean episode reward: -40.45015296391264, time: 52.224
steps: 1474975, episodes: 59000, mean episode reward: -39.27444954292234, time: 52.28
steps: 1499975, episodes: 60000, mean episode reward: -38.19606597409618, time: 51.681
steps: 1524975, episodes: 61000, mean episode reward: -37.962099407624294, time: 52.407
steps: 1549975, episodes: 62000, mean episode reward: -37.66460274523645, time: 53.059
steps: 1574975, episodes: 63000, mean episode reward: -39.220056408544465, time: 51.966
steps: 1599975, episodes: 64000, mean episode reward: -38.69234344632551, time: 52.51
steps: 1624975, episodes: 65000, mean episode reward: -38.46857175532548, time: 51.995
steps: 1649975, episodes: 66000, mean episode reward: -39.22424170798005, time: 52.003
steps: 1674975, episodes: 67000, mean episode reward: -39.110930170016076, time: 52.049
steps: 1699975, episodes: 68000, mean episode reward: -38.500389643421805, time: 52.45
steps: 1724975, episodes: 69000, mean episode reward: -37.780922148243604, time: 52.886
steps: 1749975, episodes: 70000, mean episode reward: -38.06834347273857, time: 52.657
steps: 1774975, episodes: 71000, mean episode reward: -39.580949043108355, time: 53.145
steps: 1799975, episodes: 72000, mean episode reward: -39.114820942645814, time: 51.903
steps: 1824975, episodes: 73000, mean episode reward: -39.74233355752051, time: 52.002
steps: 1849975, episodes: 74000, mean episode reward: -39.06459200768022, time: 52.791
steps: 1874975, episodes: 75000, mean episode reward: -37.57366002182632, time: 52.312
steps: 1899975, episodes: 76000, mean episode reward: -36.5125039253419, time: 52.604
steps: 1924975, episodes: 77000, mean episode reward: -37.62355970590691, time: 52.203
steps: 1949975, episodes: 78000, mean episode reward: -40.25972568905048, time: 53.046
steps: 1974975, episodes: 79000, mean episode reward: -39.62025357336094, time: 52.837
steps: 1999975, episodes: 80000, mean episode reward: -38.58121475058679, time: 52.005
steps: 2024975, episodes: 81000, mean episode reward: -40.22933999394836, time: 51.715
steps: 2049975, episodes: 82000, mean episode reward: -38.045185037731564, time: 51.653
steps: 2074975, episodes: 83000, mean episode reward: -36.935601175182676, time: 52.885
steps: 2099975, episodes: 84000, mean episode reward: -37.44804628056003, time: 53.011
steps: 2124975, episodes: 85000, mean episode reward: -37.62174938538254, time: 52.329
steps: 2149975, episodes: 86000, mean episode reward: -39.11862816284162, time: 52.589
steps: 2174975, episodes: 87000, mean episode reward: -38.84529302537012, time: 52.592
steps: 2199975, episodes: 88000, mean episode reward: -37.86510366654603, time: 51.782
steps: 2224975, episodes: 89000, mean episode reward: -38.193473966197594, time: 50.378
steps: 2249975, episodes: 90000, mean episode reward: -39.90474011709291, time: 50.764
steps: 2274975, episodes: 91000, mean episode reward: -40.29353540302237, time: 51.173
steps: 2299975, episodes: 92000, mean episode reward: -39.75040483582785, time: 51.474
steps: 2324975, episodes: 93000, mean episode reward: -40.61541167085324, time: 50.596
steps: 2349975, episodes: 94000, mean episode reward: -40.39459550474114, time: 46.69
steps: 2374975, episodes: 95000, mean episode reward: -38.47680343602222, time: 46.383
steps: 2399975, episodes: 96000, mean episode reward: -40.313780752037204, time: 47.059
steps: 2424975, episodes: 97000, mean episode reward: -39.1770760996707, time: 44.266
steps: 2449975, episodes: 98000, mean episode reward: -38.858598420194404, time: 41.015
steps: 2474975, episodes: 99000, mean episode reward: -41.03831736666393, time: 40.53
steps: 2499975, episodes: 100000, mean episode reward: -40.54046590128886, time: 40.484
...Finished total of 100001 episodes.
