0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -671.1677774253992, time: 57.889
steps: 49975, episodes: 2000, mean episode reward: -769.1360758588999, time: 81.839
steps: 74975, episodes: 3000, mean episode reward: -595.6272877164819, time: 80.751
steps: 99975, episodes: 4000, mean episode reward: -555.3625883974175, time: 79.844
steps: 124975, episodes: 5000, mean episode reward: -540.8108719212464, time: 80.008
steps: 149975, episodes: 6000, mean episode reward: -526.1976463617254, time: 79.517
steps: 174975, episodes: 7000, mean episode reward: -518.2321370414836, time: 79.112
steps: 199975, episodes: 8000, mean episode reward: -503.8520424406058, time: 80.668
steps: 224975, episodes: 9000, mean episode reward: -499.2660086441241, time: 80.249
steps: 249975, episodes: 10000, mean episode reward: -500.36142327985937, time: 80.114
steps: 274975, episodes: 11000, mean episode reward: -492.2197982553807, time: 80.436
steps: 299975, episodes: 12000, mean episode reward: -484.7182757306291, time: 80.343
steps: 324975, episodes: 13000, mean episode reward: -480.7019971665386, time: 80.398
steps: 349975, episodes: 14000, mean episode reward: -478.58232064655294, time: 80.597
steps: 374975, episodes: 15000, mean episode reward: -474.1741660812163, time: 79.746
steps: 399975, episodes: 16000, mean episode reward: -468.79797794709737, time: 81.14
steps: 424975, episodes: 17000, mean episode reward: -468.6412532529416, time: 80.251
steps: 449975, episodes: 18000, mean episode reward: -467.2903153186997, time: 80.764
steps: 474975, episodes: 19000, mean episode reward: -463.7514305231772, time: 80.288
steps: 499975, episodes: 20000, mean episode reward: -465.8484796457499, time: 78.711
steps: 524975, episodes: 21000, mean episode reward: -461.9602504725802, time: 80.333
steps: 549975, episodes: 22000, mean episode reward: -459.98308458791684, time: 81.145
steps: 574975, episodes: 23000, mean episode reward: -460.5653653971504, time: 80.294
steps: 599975, episodes: 24000, mean episode reward: -457.14034178341905, time: 81.064
steps: 624975, episodes: 25000, mean episode reward: -456.55141403845346, time: 79.471
steps: 649975, episodes: 26000, mean episode reward: -456.0061525698269, time: 80.531
steps: 674975, episodes: 27000, mean episode reward: -451.4808312867157, time: 81.259
steps: 699975, episodes: 28000, mean episode reward: -450.62841964283103, time: 80.661
steps: 724975, episodes: 29000, mean episode reward: -444.7239936738734, time: 80.691
steps: 749975, episodes: 30000, mean episode reward: -444.03289396198386, time: 79.264
steps: 774975, episodes: 31000, mean episode reward: -440.849581334771, time: 81.016
steps: 799975, episodes: 32000, mean episode reward: -435.7417205519454, time: 79.312
steps: 824975, episodes: 33000, mean episode reward: -438.19250746522323, time: 79.148
steps: 849975, episodes: 34000, mean episode reward: -439.0886456330179, time: 77.69
steps: 874975, episodes: 35000, mean episode reward: -435.30564143112144, time: 78.742
steps: 899975, episodes: 36000, mean episode reward: -431.4368860691369, time: 78.838
steps: 924975, episodes: 37000, mean episode reward: -433.7762593619692, time: 78.854
steps: 949975, episodes: 38000, mean episode reward: -433.3565822753831, time: 80.014
steps: 974975, episodes: 39000, mean episode reward: -427.88687756693537, time: 78.299
steps: 999975, episodes: 40000, mean episode reward: -426.8528956937074, time: 79.029
steps: 1024975, episodes: 41000, mean episode reward: -422.4408827218903, time: 78.126
steps: 1049975, episodes: 42000, mean episode reward: -421.27582094920996, time: 78.825
steps: 1074975, episodes: 43000, mean episode reward: -423.44096741777895, time: 78.566
steps: 1099975, episodes: 44000, mean episode reward: -422.544353009606, time: 80.513
steps: 1124975, episodes: 45000, mean episode reward: -422.79825510102995, time: 80.229
steps: 1149975, episodes: 46000, mean episode reward: -423.8262695889211, time: 80.549
steps: 1174975, episodes: 47000, mean episode reward: -419.66011886179945, time: 78.631
steps: 1199975, episodes: 48000, mean episode reward: -419.7063011423795, time: 79.45
steps: 1224975, episodes: 49000, mean episode reward: -416.6781305274385, time: 80.093
steps: 1249975, episodes: 50000, mean episode reward: -418.32875323011774, time: 79.643
steps: 1274975, episodes: 51000, mean episode reward: -421.439533462467, time: 80.549
steps: 1299975, episodes: 52000, mean episode reward: -415.6057911794898, time: 78.91
steps: 1324975, episodes: 53000, mean episode reward: -415.02551336625135, time: 76.578
steps: 1349975, episodes: 54000, mean episode reward: -419.2289866775221, time: 78.529
steps: 1374975, episodes: 55000, mean episode reward: -417.3128911370191, time: 79.598
steps: 1399975, episodes: 56000, mean episode reward: -415.7902096841994, time: 77.142
steps: 1424975, episodes: 57000, mean episode reward: -412.6991091347416, time: 80.048
steps: 1449975, episodes: 58000, mean episode reward: -412.6944514579987, time: 80.322
steps: 1474975, episodes: 59000, mean episode reward: -411.1276880401663, time: 80.262
steps: 1499975, episodes: 60000, mean episode reward: -411.7799568974653, time: 79.342
steps: 1524975, episodes: 61000, mean episode reward: -412.97395828496224, time: 78.717
steps: 1549975, episodes: 62000, mean episode reward: -409.9720187604112, time: 80.604
steps: 1574975, episodes: 63000, mean episode reward: -407.0878756976825, time: 78.445
steps: 1599975, episodes: 64000, mean episode reward: -406.2261910309581, time: 77.448
steps: 1624975, episodes: 65000, mean episode reward: -403.7450156267175, time: 78.692
steps: 1649975, episodes: 66000, mean episode reward: -405.8879815767603, time: 80.41
steps: 1674975, episodes: 67000, mean episode reward: -402.3203542552424, time: 80.313
steps: 1699975, episodes: 68000, mean episode reward: -402.91165246955325, time: 79.711
steps: 1724975, episodes: 69000, mean episode reward: -401.1980834873814, time: 81.123
steps: 1749975, episodes: 70000, mean episode reward: -405.16212544207167, time: 78.42
steps: 1774975, episodes: 71000, mean episode reward: -400.7064121626727, time: 80.007
steps: 1799975, episodes: 72000, mean episode reward: -400.85249983694587, time: 78.15
steps: 1824975, episodes: 73000, mean episode reward: -400.66115178450355, time: 79.672
steps: 1849975, episodes: 74000, mean episode reward: -402.6235330424199, time: 79.001
steps: 1874975, episodes: 75000, mean episode reward: -402.08847892509175, time: 79.291
steps: 1899975, episodes: 76000, mean episode reward: -401.26236029888224, time: 78.666
steps: 1924975, episodes: 77000, mean episode reward: -398.38936489599183, time: 80.759
steps: 1949975, episodes: 78000, mean episode reward: -399.3646041810657, time: 79.188
steps: 1974975, episodes: 79000, mean episode reward: -399.96393253334963, time: 79.351
steps: 1999975, episodes: 80000, mean episode reward: -398.36795158530225, time: 79.616
steps: 2024975, episodes: 81000, mean episode reward: -397.093503486322, time: 80.034
steps: 2049975, episodes: 82000, mean episode reward: -399.39763576794616, time: 80.035
steps: 2074975, episodes: 83000, mean episode reward: -397.41249211199926, time: 79.45
steps: 2099975, episodes: 84000, mean episode reward: -396.6960158700441, time: 79.707
steps: 2124975, episodes: 85000, mean episode reward: -398.96657613527555, time: 78.707
steps: 2149975, episodes: 86000, mean episode reward: -395.6302291659678, time: 80.083
steps: 2174975, episodes: 87000, mean episode reward: -400.2047701192022, time: 79.738
steps: 2199975, episodes: 88000, mean episode reward: -399.4095523574852, time: 79.743
steps: 2224975, episodes: 89000, mean episode reward: -396.30708334417545, time: 79.119
steps: 2249975, episodes: 90000, mean episode reward: -396.1951087946929, time: 76.841
steps: 2274975, episodes: 91000, mean episode reward: -395.2995169837358, time: 55.998
steps: 2299975, episodes: 92000, mean episode reward: -393.2407733560233, time: 53.364
steps: 2324975, episodes: 93000, mean episode reward: -396.5632369349339, time: 51.053
steps: 2349975, episodes: 94000, mean episode reward: -391.0211465046944, time: 50.413
steps: 2374975, episodes: 95000, mean episode reward: -390.8803628671169, time: 50.685
steps: 2399975, episodes: 96000, mean episode reward: -389.7556909297885, time: 51.178
steps: 2424975, episodes: 97000, mean episode reward: -391.583912694974, time: 55.649
steps: 2449975, episodes: 98000, mean episode reward: -393.1131688165647, time: 56.044
steps: 2474975, episodes: 99000, mean episode reward: -391.76992282851495, time: 57.436
steps: 2499975, episodes: 100000, mean episode reward: -391.07965400744627, time: 56.882
...Finished total of 100001 episodes.
