0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -150.94128876445902, time: 32.766
steps: 49975, episodes: 2000, mean episode reward: -188.06069050948514, time: 47.609
steps: 74975, episodes: 3000, mean episode reward: -66.91452429993117, time: 50.169
steps: 99975, episodes: 4000, mean episode reward: -61.356542690158804, time: 51.284
steps: 124975, episodes: 5000, mean episode reward: -62.547263770694, time: 51.449
steps: 149975, episodes: 6000, mean episode reward: -60.08697012120722, time: 51.08
steps: 174975, episodes: 7000, mean episode reward: -62.40224186469559, time: 50.754
steps: 199975, episodes: 8000, mean episode reward: -61.95176745713002, time: 51.158
steps: 224975, episodes: 9000, mean episode reward: -61.80474276817088, time: 50.86
steps: 249975, episodes: 10000, mean episode reward: -62.18491005076459, time: 51.689
steps: 274975, episodes: 11000, mean episode reward: -63.46295451769971, time: 50.37
steps: 299975, episodes: 12000, mean episode reward: -62.108985814406054, time: 51.005
steps: 324975, episodes: 13000, mean episode reward: -63.001486648003265, time: 50.168
steps: 349975, episodes: 14000, mean episode reward: -61.48124879131667, time: 51.214
steps: 374975, episodes: 15000, mean episode reward: -62.99619822043088, time: 50.75
steps: 399975, episodes: 16000, mean episode reward: -62.29705247922299, time: 50.676
steps: 424975, episodes: 17000, mean episode reward: -63.330856913448194, time: 51.535
steps: 449975, episodes: 18000, mean episode reward: -64.70403436801675, time: 50.959
steps: 474975, episodes: 19000, mean episode reward: -66.02255809826701, time: 51.322
steps: 499975, episodes: 20000, mean episode reward: -63.20599234929868, time: 51.603
steps: 524975, episodes: 21000, mean episode reward: -63.94675478607669, time: 51.939
steps: 549975, episodes: 22000, mean episode reward: -63.08585651704249, time: 51.813
steps: 574975, episodes: 23000, mean episode reward: -63.6165747160955, time: 50.047
steps: 599975, episodes: 24000, mean episode reward: -66.20524388871429, time: 51.057
steps: 624975, episodes: 25000, mean episode reward: -66.4591455372264, time: 51.162
steps: 649975, episodes: 26000, mean episode reward: -64.36617788474132, time: 50.974
steps: 674975, episodes: 27000, mean episode reward: -64.77616071664414, time: 50.598
steps: 699975, episodes: 28000, mean episode reward: -62.560921698534635, time: 51.398
steps: 724975, episodes: 29000, mean episode reward: -65.129462022453, time: 50.031
steps: 749975, episodes: 30000, mean episode reward: -65.4784011080589, time: 50.622
steps: 774975, episodes: 31000, mean episode reward: -64.97319122996987, time: 50.131
steps: 799975, episodes: 32000, mean episode reward: -63.098383563130966, time: 50.544
steps: 824975, episodes: 33000, mean episode reward: -62.98127604242999, time: 52.496
steps: 849975, episodes: 34000, mean episode reward: -61.337104555474326, time: 50.579
steps: 874975, episodes: 35000, mean episode reward: -66.3707400261465, time: 51.198
steps: 899975, episodes: 36000, mean episode reward: -65.55030247313884, time: 51.214
steps: 924975, episodes: 37000, mean episode reward: -65.77976663851794, time: 51.033
steps: 949975, episodes: 38000, mean episode reward: -68.1444959677496, time: 51.769
steps: 974975, episodes: 39000, mean episode reward: -63.51777876173613, time: 52.365
steps: 999975, episodes: 40000, mean episode reward: -64.72513704755819, time: 52.235
steps: 1024975, episodes: 41000, mean episode reward: -65.65211477482869, time: 52.309
steps: 1049975, episodes: 42000, mean episode reward: -65.87889043387754, time: 51.81
steps: 1074975, episodes: 43000, mean episode reward: -64.44232708247196, time: 52.666
steps: 1099975, episodes: 44000, mean episode reward: -68.97412021525794, time: 52.346
steps: 1124975, episodes: 45000, mean episode reward: -66.81069161990575, time: 53.304
steps: 1149975, episodes: 46000, mean episode reward: -67.83799614848049, time: 53.696
steps: 1174975, episodes: 47000, mean episode reward: -68.89935980402251, time: 53.249
steps: 1199975, episodes: 48000, mean episode reward: -72.3203671507435, time: 52.697
steps: 1224975, episodes: 49000, mean episode reward: -69.67099823592504, time: 53.395
