0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -670.7363360048187, time: 53.454
steps: 49975, episodes: 2000, mean episode reward: -730.4831430806888, time: 78.581
steps: 74975, episodes: 3000, mean episode reward: -600.287707944744, time: 78.418
steps: 99975, episodes: 4000, mean episode reward: -574.3765796970154, time: 79.158
steps: 124975, episodes: 5000, mean episode reward: -539.8554038471766, time: 79.588
steps: 149975, episodes: 6000, mean episode reward: -536.5151666389272, time: 80.262
steps: 174975, episodes: 7000, mean episode reward: -537.2780021553286, time: 80.165
steps: 199975, episodes: 8000, mean episode reward: -528.7807199310562, time: 79.297
steps: 224975, episodes: 9000, mean episode reward: -523.4258569541654, time: 78.816
steps: 249975, episodes: 10000, mean episode reward: -520.6435368154001, time: 80.251
steps: 274975, episodes: 11000, mean episode reward: -517.2875809086852, time: 78.383
steps: 299975, episodes: 12000, mean episode reward: -513.1218557227401, time: 78.538
steps: 324975, episodes: 13000, mean episode reward: -509.89106776456214, time: 80.319
steps: 349975, episodes: 14000, mean episode reward: -511.70053017115316, time: 79.987
steps: 374975, episodes: 15000, mean episode reward: -508.5627194280333, time: 80.545
steps: 399975, episodes: 16000, mean episode reward: -507.945388779233, time: 79.815
steps: 424975, episodes: 17000, mean episode reward: -511.38990249170377, time: 81.09
steps: 449975, episodes: 18000, mean episode reward: -510.382424517201, time: 80.693
steps: 474975, episodes: 19000, mean episode reward: -510.0181329820845, time: 80.962
steps: 499975, episodes: 20000, mean episode reward: -502.96164992654485, time: 80.451
steps: 524975, episodes: 21000, mean episode reward: -508.92570757621166, time: 79.114
steps: 549975, episodes: 22000, mean episode reward: -502.13803105823763, time: 78.965
steps: 574975, episodes: 23000, mean episode reward: -501.4292140636145, time: 77.998
steps: 599975, episodes: 24000, mean episode reward: -507.1843034263024, time: 81.457
steps: 624975, episodes: 25000, mean episode reward: -498.54625714497456, time: 80.613
steps: 649975, episodes: 26000, mean episode reward: -504.93342614995373, time: 81.123
steps: 674975, episodes: 27000, mean episode reward: -504.4729294059386, time: 80.967
steps: 699975, episodes: 28000, mean episode reward: -503.3494288654772, time: 79.627
steps: 724975, episodes: 29000, mean episode reward: -500.46200196509125, time: 80.627
steps: 749975, episodes: 30000, mean episode reward: -501.7675911465479, time: 82.148
steps: 774975, episodes: 31000, mean episode reward: -496.02278195340347, time: 81.784
steps: 799975, episodes: 32000, mean episode reward: -499.0975918747403, time: 81.023
steps: 824975, episodes: 33000, mean episode reward: -500.82121862033904, time: 80.95
steps: 849975, episodes: 34000, mean episode reward: -501.56726344491926, time: 79.874
steps: 874975, episodes: 35000, mean episode reward: -493.2265962650806, time: 80.737
steps: 899975, episodes: 36000, mean episode reward: -496.72563682571075, time: 81.055
steps: 924975, episodes: 37000, mean episode reward: -497.4735312861603, time: 81.244
steps: 949975, episodes: 38000, mean episode reward: -498.1967934499356, time: 81.316
steps: 974975, episodes: 39000, mean episode reward: -500.04605104408336, time: 80.455
steps: 999975, episodes: 40000, mean episode reward: -493.65114061902847, time: 79.371
steps: 1024975, episodes: 41000, mean episode reward: -497.9283900607524, time: 80.594
steps: 1049975, episodes: 42000, mean episode reward: -501.5858919932833, time: 82.331
steps: 1074975, episodes: 43000, mean episode reward: -502.7329136010219, time: 82.498
steps: 1099975, episodes: 44000, mean episode reward: -495.9224645340358, time: 82.766
steps: 1124975, episodes: 45000, mean episode reward: -495.5283545278924, time: 82.532
steps: 1149975, episodes: 46000, mean episode reward: -500.4033881896923, time: 83.812
steps: 1174975, episodes: 47000, mean episode reward: -499.3196203789598, time: 83.613
steps: 1199975, episodes: 48000, mean episode reward: -500.37364023422793, time: 82.072
steps: 1224975, episodes: 49000, mean episode reward: -502.9698338861548, time: 82.325
steps: 1249975, episodes: 50000, mean episode reward: -501.9627608167281, time: 83.227
steps: 1274975, episodes: 51000, mean episode reward: -499.12369294914095, time: 84.381
