0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -139.8303824254133, time: 35.788
steps: 49975, episodes: 2000, mean episode reward: -180.89241989479234, time: 49.697
steps: 74975, episodes: 3000, mean episode reward: -71.48548126845049, time: 49.382
steps: 99975, episodes: 4000, mean episode reward: -60.47211624114261, time: 50.131
steps: 124975, episodes: 5000, mean episode reward: -61.243372492915306, time: 50.84
steps: 149975, episodes: 6000, mean episode reward: -61.78750335783894, time: 50.72
steps: 174975, episodes: 7000, mean episode reward: -61.98804632560998, time: 50.295
steps: 199975, episodes: 8000, mean episode reward: -62.70029877741728, time: 49.482
steps: 224975, episodes: 9000, mean episode reward: -66.72200387581167, time: 50.142
steps: 249975, episodes: 10000, mean episode reward: -66.3257223075155, time: 48.94
steps: 274975, episodes: 11000, mean episode reward: -62.79605441173953, time: 49.337
steps: 299975, episodes: 12000, mean episode reward: -65.30544628268083, time: 50.084
steps: 324975, episodes: 13000, mean episode reward: -63.502344713396084, time: 50.977
steps: 349975, episodes: 14000, mean episode reward: -68.65519524744505, time: 50.545
steps: 374975, episodes: 15000, mean episode reward: -67.95365232219302, time: 50.174
steps: 399975, episodes: 16000, mean episode reward: -65.1535631204999, time: 50.325
steps: 424975, episodes: 17000, mean episode reward: -66.50267841458943, time: 50.72
steps: 449975, episodes: 18000, mean episode reward: -68.01454739389676, time: 50.649
steps: 474975, episodes: 19000, mean episode reward: -66.51135356365852, time: 50.707
steps: 499975, episodes: 20000, mean episode reward: -67.58520889452976, time: 50.522
steps: 524975, episodes: 21000, mean episode reward: -68.2016961226275, time: 50.071
steps: 549975, episodes: 22000, mean episode reward: -68.76931965832053, time: 51.303
steps: 574975, episodes: 23000, mean episode reward: -71.20348961523885, time: 50.282
steps: 599975, episodes: 24000, mean episode reward: -72.04187663926723, time: 50.544
steps: 624975, episodes: 25000, mean episode reward: -69.1755435837921, time: 50.62
steps: 649975, episodes: 26000, mean episode reward: -66.1495084667295, time: 50.706
steps: 674975, episodes: 27000, mean episode reward: -68.19803609509997, time: 50.552
steps: 699975, episodes: 28000, mean episode reward: -69.99006157948563, time: 49.953
steps: 724975, episodes: 29000, mean episode reward: -68.80948920470303, time: 50.029
steps: 749975, episodes: 30000, mean episode reward: -68.75185284155708, time: 49.984
steps: 774975, episodes: 31000, mean episode reward: -70.33702323433099, time: 49.295
steps: 799975, episodes: 32000, mean episode reward: -68.31815768306834, time: 51.146
steps: 824975, episodes: 33000, mean episode reward: -69.58939863252748, time: 51.277
steps: 849975, episodes: 34000, mean episode reward: -67.32865935805957, time: 51.107
steps: 874975, episodes: 35000, mean episode reward: -70.14505320776337, time: 51.035
steps: 899975, episodes: 36000, mean episode reward: -72.40669978217356, time: 49.854
steps: 924975, episodes: 37000, mean episode reward: -70.4203918054889, time: 49.892
steps: 949975, episodes: 38000, mean episode reward: -68.7860795383581, time: 49.802
steps: 974975, episodes: 39000, mean episode reward: -71.34835793985673, time: 49.643
steps: 999975, episodes: 40000, mean episode reward: -70.59151237472447, time: 49.618
steps: 1024975, episodes: 41000, mean episode reward: -71.95154298910036, time: 50.124
steps: 1049975, episodes: 42000, mean episode reward: -73.65630294211454, time: 51.615
steps: 1074975, episodes: 43000, mean episode reward: -73.38940962656913, time: 52.095
steps: 1099975, episodes: 44000, mean episode reward: -71.86500479812277, time: 51.351
steps: 1124975, episodes: 45000, mean episode reward: -78.28406838265465, time: 51.554
steps: 1149975, episodes: 46000, mean episode reward: -79.03825035072255, time: 51.737
steps: 1174975, episodes: 47000, mean episode reward: -78.39843964914685, time: 52.177
steps: 1199975, episodes: 48000, mean episode reward: -79.16662367980305, time: 51.702
steps: 1224975, episodes: 49000, mean episode reward: -77.4388936428944, time: 52.409
steps: 1249975, episodes: 50000, mean episode reward: -79.17110197574326, time: 51.496
steps: 1274975, episodes: 51000, mean episode reward: -78.19134490997438, time: 50.653
steps: 1299975, episodes: 52000, mean episode reward: -78.84618905729043, time: 51.607
steps: 1324975, episodes: 53000, mean episode reward: -79.28693157571954, time: 52.148
steps: 1349975, episodes: 54000, mean episode reward: -77.31464747333563, time: 51.778
steps: 1374975, episodes: 55000, mean episode reward: -79.43462416829728, time: 51.136
steps: 1399975, episodes: 56000, mean episode reward: -80.57332880062135, time: 51.504
steps: 1424975, episodes: 57000, mean episode reward: -81.1627547777185, time: 51.78
steps: 1449975, episodes: 58000, mean episode reward: -79.95684570641544, time: 51.227
steps: 1474975, episodes: 59000, mean episode reward: -78.78020187282189, time: 51.066
steps: 1499975, episodes: 60000, mean episode reward: -79.18517905547415, time: 50.642
steps: 1524975, episodes: 61000, mean episode reward: -77.3299600237785, time: 51.99
steps: 1549975, episodes: 62000, mean episode reward: -79.63057391648614, time: 50.481
steps: 1574975, episodes: 63000, mean episode reward: -77.83649419796676, time: 51.257
steps: 1599975, episodes: 64000, mean episode reward: -79.72224329292072, time: 51.182
steps: 1624975, episodes: 65000, mean episode reward: -77.7699372472146, time: 52.133
steps: 1649975, episodes: 66000, mean episode reward: -78.56554196983129, time: 51.435
steps: 1674975, episodes: 67000, mean episode reward: -80.00965458543318, time: 52.636
steps: 1699975, episodes: 68000, mean episode reward: -76.12977346542125, time: 51.883
steps: 1724975, episodes: 69000, mean episode reward: -77.45157578916223, time: 52.206
steps: 1749975, episodes: 70000, mean episode reward: -77.8194201310157, time: 50.603
steps: 1774975, episodes: 71000, mean episode reward: -78.33233580528976, time: 50.952
steps: 1799975, episodes: 72000, mean episode reward: -76.7162464621171, time: 52.172
steps: 1824975, episodes: 73000, mean episode reward: -80.69645608678178, time: 51.358
steps: 1849975, episodes: 74000, mean episode reward: -79.74735438485581, time: 51.423
steps: 1874975, episodes: 75000, mean episode reward: -75.91097926069155, time: 51.587
steps: 1899975, episodes: 76000, mean episode reward: -78.31290381710987, time: 52.061
steps: 1924975, episodes: 77000, mean episode reward: -82.01482418925355, time: 52.415
steps: 1949975, episodes: 78000, mean episode reward: -80.41658464026268, time: 50.884
steps: 1974975, episodes: 79000, mean episode reward: -75.36023539304705, time: 49.902
steps: 1999975, episodes: 80000, mean episode reward: -79.02490815427564, time: 51.566
steps: 2024975, episodes: 81000, mean episode reward: -75.74077306933376, time: 51.104
steps: 2049975, episodes: 82000, mean episode reward: -75.94718375479144, time: 51.197
steps: 2074975, episodes: 83000, mean episode reward: -78.73223310293288, time: 52.216
steps: 2099975, episodes: 84000, mean episode reward: -79.55357797987459, time: 52.973
steps: 2124975, episodes: 85000, mean episode reward: -77.95484650275131, time: 52.056
steps: 2149975, episodes: 86000, mean episode reward: -78.2926942044493, time: 52.903
steps: 2174975, episodes: 87000, mean episode reward: -78.04841699056617, time: 52.174
steps: 2199975, episodes: 88000, mean episode reward: -75.33104695344593, time: 52.564
steps: 2224975, episodes: 89000, mean episode reward: -73.92424029732726, time: 51.65
steps: 2249975, episodes: 90000, mean episode reward: -74.98183719923145, time: 52.214
steps: 2274975, episodes: 91000, mean episode reward: -76.85977615735142, time: 52.789
steps: 2299975, episodes: 92000, mean episode reward: -75.0083185391, time: 52.769
steps: 2324975, episodes: 93000, mean episode reward: -75.9220032828211, time: 53.668
steps: 2349975, episodes: 94000, mean episode reward: -78.80410123788204, time: 51.161
steps: 2374975, episodes: 95000, mean episode reward: -76.25621999747597, time: 51.164
steps: 2399975, episodes: 96000, mean episode reward: -79.36455860703099, time: 52.405
steps: 2424975, episodes: 97000, mean episode reward: -73.8522897068701, time: 52.987
steps: 2449975, episodes: 98000, mean episode reward: -77.69007648708453, time: 52.983
steps: 2474975, episodes: 99000, mean episode reward: -75.00526891218156, time: 52.835
steps: 2499975, episodes: 100000, mean episode reward: -76.28219160091085, time: 50.951
...Finished total of 100001 episodes.
