0 good agents
      adv rate for q_index :  0 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  0 [1e-05, 1e-05, 1e-05]
1 good agents
      adv rate for q_index :  1 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  1 [1e-05, 1e-05, 1e-05]
2 good agents
      adv rate for q_index :  2 [1e-05, 1e-05, 1e-05]
      adv rate for p_index :  2 [1e-05, 1e-05, 1e-05]
Using good policy mmmaddpg and bad policy mmmaddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -676.1377118731294, time: 55.6
steps: 49975, episodes: 2000, mean episode reward: -750.9574474089193, time: 79.06
steps: 74975, episodes: 3000, mean episode reward: -610.5466445765115, time: 78.301
steps: 99975, episodes: 4000, mean episode reward: -579.3431987895904, time: 77.106
steps: 124975, episodes: 5000, mean episode reward: -551.5047996104378, time: 78.0
steps: 149975, episodes: 6000, mean episode reward: -542.7978127433951, time: 77.233
steps: 174975, episodes: 7000, mean episode reward: -550.7141592576388, time: 79.069
steps: 199975, episodes: 8000, mean episode reward: -541.9861484720662, time: 78.743
steps: 224975, episodes: 9000, mean episode reward: -536.5066545376945, time: 79.019
steps: 249975, episodes: 10000, mean episode reward: -532.1861429725815, time: 79.343
steps: 274975, episodes: 11000, mean episode reward: -530.5082426510972, time: 78.829
steps: 299975, episodes: 12000, mean episode reward: -524.505029984984, time: 78.553
steps: 324975, episodes: 13000, mean episode reward: -524.821331542739, time: 77.896
steps: 349975, episodes: 14000, mean episode reward: -525.6359482870058, time: 79.0
steps: 374975, episodes: 15000, mean episode reward: -524.4877113760309, time: 77.518
steps: 399975, episodes: 16000, mean episode reward: -516.6441437055429, time: 78.928
steps: 424975, episodes: 17000, mean episode reward: -516.8818061083698, time: 78.479
steps: 449975, episodes: 18000, mean episode reward: -520.4653318208101, time: 78.128
steps: 474975, episodes: 19000, mean episode reward: -521.9543239621972, time: 79.865
steps: 499975, episodes: 20000, mean episode reward: -523.5730310256514, time: 77.495
steps: 524975, episodes: 21000, mean episode reward: -520.9498531600512, time: 79.055
steps: 549975, episodes: 22000, mean episode reward: -525.4101619569554, time: 79.004
steps: 574975, episodes: 23000, mean episode reward: -525.0402572588711, time: 78.612
steps: 599975, episodes: 24000, mean episode reward: -517.3547724401051, time: 78.836
steps: 624975, episodes: 25000, mean episode reward: -524.8402067472923, time: 77.493
steps: 649975, episodes: 26000, mean episode reward: -525.6650694495706, time: 77.894
steps: 674975, episodes: 27000, mean episode reward: -526.3685269856448, time: 79.231
steps: 699975, episodes: 28000, mean episode reward: -522.2916570770384, time: 79.487
steps: 724975, episodes: 29000, mean episode reward: -526.1101647031293, time: 80.334
steps: 749975, episodes: 30000, mean episode reward: -523.1632867833837, time: 80.081
steps: 774975, episodes: 31000, mean episode reward: -526.702938174902, time: 79.017
steps: 799975, episodes: 32000, mean episode reward: -527.8440532804137, time: 80.014
steps: 824975, episodes: 33000, mean episode reward: -527.9672410020137, time: 80.061
steps: 849975, episodes: 34000, mean episode reward: -520.1712469028971, time: 80.064
steps: 874975, episodes: 35000, mean episode reward: -524.3716026972617, time: 80.568
steps: 899975, episodes: 36000, mean episode reward: -523.9162988746182, time: 80.276
steps: 924975, episodes: 37000, mean episode reward: -524.8353902784452, time: 80.402
steps: 949975, episodes: 38000, mean episode reward: -528.0674004274221, time: 78.264
